sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,0
1,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,0
1,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,0
1,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,0
1,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,0
1,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,0
1,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,0
1,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,0
1,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,0
1,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,0
1,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,0
1,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,0
0,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,0
2,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,0
1,0.23,0.17,0.05,0.057,0.026,0.013,0.016,0
0,0.58,0.445,0.15,0.858,0.4,0.156,0.253,0
1,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,0
2,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,0
1,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,0
1,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,0
1,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,0
2,0.44,0.325,0.115,0.39,0.163,0.087,0.113,0
1,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,0
1,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,0
0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,0
2,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,0
0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,0
1,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,0
1,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,0
0,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,0
1,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,0
1,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,0
1,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,0
1,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,0
1,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,0
1,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,0
1,0.36,0.27,0.095,0.2,0.073,0.056,0.061,0
1,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,0
2,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,0
2,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,0
0,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,0
1,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,0
1,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,0
1,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,0
1,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,0
2,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,0
0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,0
1,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,0
2,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,0
1,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,0
1,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,0
1,0.55,0.435,0.165,0.804,0.34,0.194,0.244,0
1,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,0
0,0.515,0.43,0.14,0.834,0.367,0.2,0.23,0
1,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,0
2,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,0
1,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,0
1,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,0
0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,0
1,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,0
1,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,0
1,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,0
1,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,0
2,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,0
1,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,0
1,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,0
1,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,0
1,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,0
2,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,0
1,0.51,0.395,0.105,0.5525,0.234,0.127,0.165,0
1,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,0
1,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,0
1,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,0
2,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,0
1,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,0
0,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,0
1,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,0
1,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,0
1,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,0
2,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,0
0,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,0
2,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,0
1,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,0
0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,0
2,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,0
2,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,0
2,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,0
1,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,0
1,0.485,0.375,0.14,0.521,0.2,0.123,0.17,0
2,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,0
2,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,0
1,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,0
1,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,0
2,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,0
1,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,0
2,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,0
1,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,0
1,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,0
1,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,0
0,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,0
1,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,0
1,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,0
1,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,0
1,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,0
1,0.255,0.185,0.07,0.075,0.028,0.018,0.025,0
1,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,0
1,0.44,0.325,0.09,0.35,0.148,0.067,0.105,0
2,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,0
1,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,0
1,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,0
1,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,0
1,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,0
0,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,0
1,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,0
1,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,0
1,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,0
1,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,0
1,0.525,0.38,0.135,0.615,0.261,0.159,0.175,0
1,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,0
2,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,0
1,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,0
2,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,0
1,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,0
1,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,0
1,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,0
1,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185,0
1,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,0
1,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,0
1,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,0
1,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,0
1,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,0
2,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,0
1,0.275,0.195,0.065,0.106,0.054,0.02,0.028,0
1,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,0
1,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,0
1,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,0
1,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,0
1,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,0
0,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,0
1,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,0
2,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,0
