sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
2.0,0.63,0.485,0.145,,0.5065,0.1785,0.3365,1
1.0,0.38,0.275,0.095,,0.0945,,0.075,0
2.0,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,0
1.0,,0.25,0.08,0.167,0.0675,0.0325,0.0575,0
1.0,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,0
0.0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,1
1.0,0.365,0.265,0.085,,0.0945,0.049,0.06,0
1.0,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,0
1.0,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,1
2.0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,1
1.0,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,1
2.0,0.49,0.38,0.14,,,0.167,0.185,1
0.0,0.6,0.465,0.165,,0.309,0.246,0.262,1
,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,0
2.0,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,0
2.0,,0.43,0.145,0.8995,0.464,0.1775,,1
0.0,0.58,0.445,0.15,0.858,0.4,0.156,0.253,0
1.0,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,1
1.0,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,0
1.0,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,0
2.0,,0.5,0.2,1.187,0.412,0.2705,0.37,1
1.0,0.255,0.19,0.075,0.0865,,0.0205,0.025,0
2.0,0.5,0.39,0.13,0.709,,0.168,0.18,1
,,0.44,0.135,0.9025,0.3805,0.2105,0.28,1
1.0,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,0
2.0,,0.48,0.155,1.014,0.451,0.1885,0.325,1
0.0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,1
1.0,0.44,0.325,,0.35,0.148,0.067,0.105,0
2.0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,1
2.0,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,1
0.0,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,1
0.0,0.7,0.575,0.205,1.773,0.605,0.447,0.538,1
2.0,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,1
2.0,0.695,,0.215,1.9565,0.7125,0.541,0.59,1
2.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,1
1.0,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,1
0.0,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,1
0.0,,0.615,0.205,2.2635,0.821,0.423,0.726,1
2.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,1
2.0,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,1
1.0,0.445,,0.11,0.358,0.1525,0.067,0.1185,0
1.0,,0.45,0.135,0.8245,0.3375,0.2115,0.239,1
,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,1
,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,1
1.0,,0.345,,0.869,0.3085,0.185,0.319,1
2.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,0
1.0,0.605,0.485,,1.238,0.6315,0.226,0.33,1
1.0,,0.45,0.145,0.795,0.364,0.1505,0.26,1
2.0,0.645,,0.165,1.403,0.5755,0.2515,0.4545,1
0.0,0.53,,0.125,0.6695,0.289,0.151,0.18,1
0.0,0.36,0.265,0.09,0.2065,,0.057,0.06,0
1.0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,0
0.0,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,1
2.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,1
2.0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,1
1.0,0.395,0.295,0.1,0.293,0.14,0.062,0.082,0
1.0,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,0
1.0,0.435,0.33,0.11,0.38,0.1515,,0.11,0
,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,1
0.0,0.665,0.505,0.16,,0.631,,0.32,1
1.0,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,0
1.0,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,0
1.0,,0.21,0.06,0.0965,,0.022,,0
0.0,0.66,0.52,,1.514,0.526,0.2975,0.42,1
0.0,0.415,0.325,,0.38,0.1595,0.0785,0.12,1
1.0,0.385,0.29,0.09,0.2615,0.111,,0.0745,1
,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,0
2.0,,0.35,0.11,0.458,0.2,0.111,0.1305,0
2.0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,1
1.0,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,0
1.0,0.545,0.375,0.12,0.543,0.2375,0.1155,,0
0.0,0.44,0.34,0.13,,0.153,0.1155,0.13,1
0.0,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,1
0.0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,0
1.0,0.475,0.365,0.14,,0.171,0.118,0.158,0
1.0,0.4,0.3,0.09,0.2815,0.1185,,,0
1.0,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,0
2.0,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,1
2.0,0.53,,0.155,0.7905,0.307,0.171,0.2595,1
1.0,0.17,0.105,0.035,,,0.0085,0.005,0
0.0,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,1
,,0.37,0.135,0.547,,0.1325,0.17,1
2.0,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,1
1.0,0.475,0.355,0.105,0.468,0.201,0.1115,,0
1.0,0.23,0.17,0.05,0.057,0.026,0.013,0.016,0
1.0,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,1
1.0,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,0
0.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,1
0.0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,1
0.0,0.545,0.435,0.15,0.6855,,0.145,0.225,1
1.0,0.575,0.455,0.16,0.9895,,0.195,0.246,1
,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,1
,0.595,,0.165,,0.4915,,0.3345,1
2.0,0.575,0.45,,0.9215,0.354,0.209,0.2365,1
0.0,0.42,0.33,0.125,0.463,0.186,0.11,0.145,1
2.0,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,0
0.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26,1
0.0,,0.275,0.085,0.2405,0.104,0.0535,0.07,0
2.0,0.575,0.435,,1.0105,0.368,,0.32,1
2.0,0.61,0.48,0.165,1.2435,0.5575,0.2675,,0
0.0,0.505,,0.13,0.693,0.391,0.1195,0.1515,0
2.0,0.525,0.41,,0.99,0.3865,0.243,0.295,1
1.0,0.425,0.325,0.11,0.317,0.135,0.048,,0
2.0,,,,1.3375,0.554,0.308,0.415,1
,0.665,0.525,,1.429,0.6715,0.29,0.4,1
0.0,0.595,0.48,,1.2095,0.5225,,0.32,0
1.0,,0.38,0.135,0.5395,0.2295,0.133,0.157,0
2.0,0.565,0.445,0.14,0.836,0.406,0.1605,,1
0.0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,1
,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,1
2.0,0.355,,0.09,0.3275,0.134,0.086,0.09,1
2.0,,,0.12,0.8765,0.456,0.18,0.233,1
1.0,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,0
2.0,0.35,0.265,0.09,0.2255,,,0.07,0
0.0,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,1
2.0,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,0
0.0,0.595,0.48,0.15,1.11,0.498,0.228,0.33,1
1.0,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,0
0.0,0.65,0.545,,1.5055,0.6565,0.341,,1
0.0,0.53,0.405,0.13,0.6355,0.2635,,0.185,1
0.0,0.6,0.5,0.17,,0.4405,0.267,0.335,1
1.0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,1
2.0,0.64,,0.17,1.139,0.5395,0.282,0.285,1
2.0,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,0
1.0,0.33,0.25,0.105,0.1715,0.0655,,0.06,0
1.0,0.515,0.39,0.14,0.5555,0.2,,,1
1.0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,0
1.0,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,0
2.0,0.58,0.43,0.125,0.9115,0.446,0.2075,,1
2.0,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,1
2.0,0.45,0.355,,0.478,0.18,0.1185,0.155,1
0.0,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,1
,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,0
0.0,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,1
2.0,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,1
1.0,0.555,,0.13,0.5585,0.222,0.1245,0.17,1
1.0,0.59,0.445,0.135,0.7715,,0.1745,0.23,1
1.0,0.615,0.46,0.19,1.066,0.4335,0.226,0.33,1
0.0,0.59,0.44,0.14,,0.4775,0.2105,0.2925,1
,,0.515,0.185,1.3745,0.75,0.1805,0.369,1
