sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
,,,0.095,,,,,1
,,,,,,,,0
,,,,0.677,,,,1
,,,,0.516,,,,1
,,0.255,,,,,0.055,0
,,,,,,,,0
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,0.15,,,0.151,,1
,,,,,,,,1
,,,,,,,,1
2.0,,,,,,,,1
,0.535,,,0.6845,,,,1
,,,,,,,,1
,,,,,,,,1
,0.355,,,,,,,0
,,,,,0.188,,,1
,,,,,0.097,0.043,,0
2.0,0.45,,,,0.1705,,,1
,,,,,,0.062,,1
,,0.275,,,,,0.085,1
,,,,,,,0.27,1
,,,0.135,,,,,1
,0.615,,,,,,,1
,0.56,,,,,,,1
,,,,0.9955,,,,1
,,0.445,,,,,,1
,,,,,,,,1
2.0,,,,,,0.227,,1
,,,,,,,,1
,,,,,,,,1
,,,,1.338,,0.3575,,1
,,,0.175,1.798,,,,1
,,,,,,,,1
,,,,,,,,0
,,,,,,,,1
,,,,,,,,0
,,,,,0.381,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,0
,,,,,,,,0
1.0,0.21,,,,,,,0
,,,,,,,,0
,,,,,,,0.14,1
,,,,,,0.11,,0
1.0,,,,0.161,,0.0255,0.045,0
,,,,,,0.2135,,1
,,,,0.595,,,,0
,,,,,,,,0
,,,,,,,0.16,1
,0.47,0.36,0.12,,,,,1
,,,,,0.173,,,0
,,,,,,0.1755,,0
,,,,,,0.0955,,0
2.0,,,,,,0.12,,0
,,,,,,,,0
,,,,,,,0.175,0
2.0,,,,,,,,0
,,,,,,,,1
,,,,,,,,1
,,,,,,,,0
,,,,,,,,0
,,0.355,,,,,,0
,,,,,,,,1
,,0.495,0.185,,,,,1
0.0,,0.39,0.12,,,,0.17,1
,,,,,,,,0
,,,,,,,,1
,,,,,,,,0
,,,,,,,,1
,,0.48,0.175,,,,,1
,,,,,,,,1
,,0.475,,,,,,1
,,,,,,,,1
,0.6,,,,,,,1
,,,,,0.282,,,1
,,,,,,,,1
0.0,0.575,,,0.941,,,,1
,,,,,,,,1
,,,,,,,0.32,1
2.0,,,,,,0.234,0.58,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,0.44,,,,,,1
,0.46,,,,,,,1
,,,0.16,,,,,1
,,0.425,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,0.56,,1.494,,0.3425,,1
,,,,,,,,1
,,,,,0.269,,,1
,,,,,,,,0
,,,,,,0.133,,0
,,,,,,,,1
,,,,,,,,0
,,,0.145,,,,,1
,,,0.16,,,,,1
,,,,,,,,1
,,,,,,,,1
0.0,,,,,,,,1
,,,,,,,,1
,0.5,,,,,0.1315,,1
,,,,,,,,1
,,,0.105,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
2.0,,,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,0.6125,,,0.22,1
,,,,,,,,1
0.0,,,,,,,,1
,,,,,,,,0
,,,,,,,,1
,,,,,,,,0
,,,,,,,0.255,1
,,0.265,,,,,,0
,,,,,,,,0
,,,,,,,,0
,,,,,0.1075,,,0
,,,0.085,,,,0.08,0
,,,0.16,,,,,1
,,,,,,,,1
,,0.48,0.165,,,,,1
,,,,,,0.063,,1
,,,,,,,,0
,,,,,,,,0
,,0.2,,,,,,0
,,0.33,,,,,,0
,,,,,,,,0
,0.345,,,,,,,1
,,0.325,,,,,,1
2.0,0.375,,,,,,,1
,,,,,,,,1
0.0,,,,,,,,1
2.0,0.65,,0.19,,0.519,,,1
,0.56,,,0.797,,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,0.224,0.108,,1
,,,,,,0.039,,1
,,,,,,,,0
1.0,,0.13,0.095,,0.013,,,0
,,,,,,,,1
,,,,,,,,1
0.0,,,0.19,1.3715,,,,1
,,,0.16,,0.37,,,1
,,0.45,,,,,,1
,,,0.13,0.722,,,,1
,,,,,,,,1
2.0,,,,,,,,1
,0.58,0.455,,,,,,1
,,,,,,,,1
,,,,,,,,1
,,0.485,,,,0.2575,,1
,,,,,,,,1
,,,,,,,,1
,,,,1.752,,,0.815,1
,,,,,,,,1
,,,,,0.765,,,1
,,,,,,,,1
,,,,,,,,1
,,,,,,,0.62,1
,,,0.215,,,,,1
,,0.395,,,,,,0
2.0,,,,,,0.233,,0
,,,,,,,,0
,,,,,,,,0
,,0.26,,,,,0.075,0
,,,,,0.06,,,0
