sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1.0,,,,,,,,0
1.0,,0.34,0.12,,,0.1075,,0
,,,,,,0.174,,1
2.0,,,,,,,,1
,,,,,,,,1
1.0,0.55,,,,0.2695,0.163,,0
0.0,,0.4,,,0.2395,,,1
,,,,,,0.1885,,0
,,,,0.0475,,0.011,0.013,0
,,,0.155,,,,,1
,,,,,,,0.005,0
2.0,,0.475,,,,,,1
,,,0.125,0.4895,,,,1
,0.5,,,,0.197,,0.165,0
,,,0.12,,,,,0
,,,0.16,,,0.3155,0.299,1
,,0.45,0.16,,,,,1
,0.59,,0.14,,,,,1
,,,,,,0.114,,1
,0.62,0.52,,,,,0.395,1
,,,,,,,0.27,1
,,,0.095,,,0.075,0.0885,0
1.0,,0.31,,,,,0.085,0
,,,,,,0.089,0.1,1
,,0.38,,,,,,1
,0.535,0.45,,,,0.1555,,1
,,,0.18,,,,,1
0.0,0.55,,,,,,,1
,,,,1.3475,,,,1
,0.38,0.285,,0.237,,,,0
,0.645,,,1.37,,,0.34,1
,0.19,0.13,,0.0295,0.0155,,,0
,,0.485,,,0.5235,0.2505,,1
,0.625,,,1.437,,,,1
,,,,,,,0.3,1
1.0,,,,,,,0.0975,0
2.0,,,,,,0.137,0.155,0
,,,,,,0.1725,0.185,1
,0.37,0.28,,,,,,0
0.0,0.465,0.375,0.135,,,,,1
,,,,,0.4995,,,1
2.0,,,,,,,,1
1.0,,,,,,0.123,0.1275,1
,,0.45,0.15,,,,,1
,0.37,,,,,,,0
,,,,0.1365,0.0565,,0.042,0
,,,,,,,,1
,,,,,0.143,,,0
,,,,,,,,1
,,0.49,0.165,,,0.2615,,1
1.0,,,,,,,,0
2.0,0.59,0.455,,,0.388,,0.275,1
,,0.47,0.145,,,,0.289,0
,,0.39,,0.685,,,,0
,,,,1.494,,0.3425,,1
,,,,,0.4325,,,1
,,,,,,,,1
,,,0.12,0.6015,,0.117,,0
,,,,,0.446,0.2075,,1
,,,,,,,0.035,0
,,0.425,,,,,,1
,,0.4,,,,0.1665,,1
,,,,,,,,1
,,,,,,,,1
0.0,,,,0.08,,0.0215,,0
,,,0.135,,,,0.211,0
1.0,,,,,,,,1
1.0,,,0.1,,,,,0
,,0.555,,,0.713,,,1
,,,,0.306,,,,1
,,0.33,0.12,,,,,1
1.0,,,0.115,,,,,0
,,,,,,,0.348,1
1.0,,,,,,,,0
,,0.325,,,,0.092,,0
2.0,,0.43,,,,0.172,,0
,,,,,,,0.09,1
,,0.335,,,,,,0
,0.625,,0.16,,0.605,,0.319,1
0.0,,,,,,,,1
1.0,,,0.05,,0.0215,,,0
,,,,,,,,0
,,0.51,,,,,0.339,1
,,,0.085,,,,,0
,,,0.125,0.741,,,,1
,,,,,,,,1
,,,,,,,0.2415,1
,0.185,,,0.027,,0.0055,,0
,,,0.08,,,,0.0495,0
,0.325,,,,0.076,,,0
,,0.42,,,,0.35,,1
,,,0.175,,,,,1
,,0.45,,,0.3965,0.194,,1
,,,,,,,0.462,1
,,,,0.5385,,,,1
,,,0.1,,,,,0
,,0.505,0.19,,0.6775,0.285,,1
,,,,,,,,1
1.0,0.55,,,0.7895,,0.171,,1
