sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
2,0.455,0.7710036696377773,0.095,-0.033524788511875014,0.2245,0.101,0.15,1
2,0.35,-0.05390068392214595,0.09,0.2255,-0.12377452760891683,0.0485,-0.33655904986769136,0
2,1.029321535605624,0.42,0.135,0.677,0.2565,-0.25604170868198833,0.21,1
2,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,1
-1,0.33,0.255,0.08,0.205,-0.048601289621491794,0.0395,0.055,0
3,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,0
0,0.53,-0.053810128137167276,-0.0932034402577318,0.7775,0.237,0.1415,-0.4762885643775525,1
2,0.545,0.425,0.125,0.768,1.2315700022687774,0.1495,1.012455238969962,1
2,0.475,0.37,0.125,-0.2680976387249885,1.6359613479032356,-0.20328464624530107,0.165,1
0,0.55,0.727100761307639,0.15,3.002768439651287,1.7731848161782464,0.151,-0.547431846294074,1
-1,1.1961192596857004,0.38,0.26987957319660466,0.6065,0.194,-0.22909238803712342,0.21,1
2,0.43,0.35,0.11,3.9480547727872084,1.255112309826636,0.081,0.135,1
2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,1
0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,1
0,0.9874101469496472,0.355,0.1,0.4755,-0.8320259271184243,0.0805,0.185,1
0,0.5,0.4,0.13,0.6645,0.258,0.133,-0.01804550037421837,1
1,0.355,0.28,0.085,0.2905,0.095,-0.08156365403624444,0.115,0
0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,1
2,0.365,0.295,-0.12302189994453608,0.2555,-0.1720658904144184,0.043,0.1,0
2,0.45,0.32,0.1,0.381,0.1705,-0.012855903526580892,0.115,1
2,0.355,0.28,0.3512610868273933,0.2455,0.0955,0.062,-0.44624288583003924,1
1,0.38,-0.06675757603191312,0.1,0.2255,0.08,0.049,0.085,1
0,0.565,-0.1514343435723774,0.155,0.9395,0.4275,0.214,0.27,1
-1,0.11819548821385828,0.6732598008362538,0.135,0.7635,0.318,0.21,0.2,1
0,0.615,0.48,0.32822188209491887,-0.8997124030361057,0.513,0.7383321313125183,0.305,1
3,0.56,0.44,0.30587506076566806,0.9285,-0.3973855913463404,0.188,0.3,1
0,0.129189339200053,0.9258021683021829,0.185,4.196680760172608,0.3945,0.272,0.780415039341926,1
2,1.0133053894074648,0.445,0.14,0.931,0.356,0.234,0.28,1
2,0.605,0.475,0.18,-0.9822930469776474,0.394,0.219,0.295,1
2,0.575,0.09502353721655071,0.14,0.8635,0.393,0.227,0.2,1
2,0.05144251279728754,0.47,0.165,0.9975,1.5726479945480887,0.242,0.33,1
0,0.9423492282094047,0.56,0.165,1.639,0.6055,0.2805,0.46,1
2,1.1948745424195213,0.525,0.33436446151690047,3.3276800918174914,0.5515,0.3575,1.2605139555985907,1
0,0.68,0.757929752192048,0.017460539169455308,-1.0803168005045842,0.815,0.8381802757780377,0.8744273088462677,1
0,0.705,0.55,0.020445196922674103,1.7095,0.633,0.4115,-0.3350838298397679,1
2,-0.23986891898232976,0.6410979099341845,0.105,3.906644186667996,1.2807441928106036,0.124,1.0592211501639264,0
0,0.54,0.475,0.155,2.9782228262312627,0.5305,0.3075,0.34,1
0,0.45,0.05746528894931381,0.105,0.5225,1.3117264537017457,0.1165,0.145,0
3,0.575,0.445,0.135,0.883,0.381,0.2035,0.8648614966729293,1
2,0.355,0.29,0.09,0.3275,0.134,-0.1316122523383217,0.09,1
0,0.45,0.335,0.105,2.5705187257830904,0.1865,0.904956089163591,0.115,1
0,0.55,0.425,0.2807424346150612,0.8515,1.8572150850798679,0.196,0.8950303255189396,1
1,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,0
2,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,0
1,-0.2056669391342438,-0.11374645106553039,0.05,-0.8726648682203715,0.0175,0.0125,0.015,0
1,0.39,0.295,0.095,3.059367201515825,-0.6090819176982422,0.045,0.075,0
2,0.12150922434306854,0.37,-0.003419163492445282,0.5795,0.293,0.227,0.14,1
0,0.8361965489706622,0.375,0.12,0.4605,0.1775,-0.23399885696535158,0.15,0
0,0.325,0.245,0.07,-1.193287911280044,0.0755,0.0255,0.045,0
0,0.525,0.425,0.16,-0.17498135067609377,0.3545,0.2135,0.8843978368234514,1
1,0.52,0.06770992924097385,0.12,2.479411825576746,0.2385,0.111,0.19,0
2,0.7919087853422195,0.32,0.095,0.303,0.1335,0.06,0.1,0
2,0.485,-0.008293947060027715,-0.0029440394000057324,0.5415,0.2595,-0.020293223211328093,1.2648272379216898,1
0,-0.08930145844141991,0.36,0.12,0.4775,0.2105,0.1055,0.15,1
2,0.9294088295805674,0.31,0.308394148360295,0.385,0.173,0.691597301249508,0.11,0
0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,0
2,0.445,0.35,0.12,0.4425,0.192,0.0955,1.1803216724176777,0
2,0.47,0.757328296848525,0.3348862962597794,-0.772744824237433,0.2765,0.12,0.17,0
1,0.245,0.6572501196227835,0.24299017075070464,3.959432220492146,0.042,0.014,0.025,0
0,0.9813261739431105,0.4,0.125,3.2422962031072116,0.246,0.13,0.175,0
2,0.45,0.345,0.105,0.4115,1.3862850190370941,0.1125,0.135,0
2,0.505,0.405,0.11,0.625,0.305,0.16,0.8499335908212735,1
0,-0.31517668928615233,0.41,0.13,3.902737580315603,0.302,0.1935,0.2,1
-1,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,0
2,0.52,0.04764369434768356,0.12,0.58,0.234,0.1315,0.185,0
2,0.475,0.355,0.009860545111579896,0.48,0.234,0.1015,0.135,0
-1,1.1356551712823617,0.44,0.16,4.098231073519634,0.354,0.1935,0.32,1
0,0.595,0.495,0.185,1.285,0.416,0.224,0.7276467205058343,1
0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,1
1,0.31,0.235,-0.00509739971506587,0.151,0.063,-0.1786689687117021,0.045,0
2,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,1
