Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
,5.0,,,4.0,,,1.0,,0.0,1
,4.0,,,,,,0.0,,,0
,4.0,,,,,,,,,0
2.0,,,,3.0,0.0,,,,,1
2.0,4.0,,,,,,,,,1
,,,,,,,,,,1
,,9.0,,,,,,,,1
,,,,,,,,,,0
,4.0,,,,,,0.0,,,0
,,5.0,,,0.0,4.0,1.0,,,0
,,,,,,,,,,1
,5.0,,,,,,,,,1
,,,0.0,7.0,,,,,,1
2.0,,,,,,,,10.0,,1
,1.0,8.0,,,,4.0,,,,1
2.0,,15.0,,,,,,,,0
,4.0,9.0,,,,,,,39.0,1
,,,,12.0,,,1.0,,,1
4.0,,,,,5.0,,,,39.0,1
,4.0,,,,,,,,,1
,,,,,,,,,,1
,,,,3.0,,,1.0,,,0
,,,,,,,,,,0
,6.0,,,,,,,,,1
,,,2.0,,,,,,,1
,,,,,,,,,,1
2.0,,,,,0.0,,1.0,,,1
,4.0,,,,,,,,,1
,,,,10.0,,4.0,,,,0
,,,,,,,1.0,,,0
,,,,,,,,,,0
,,,,,,,,,,0
2.0,4.0,,4.0,,,,1.0,,,0
2.0,,,,,,,,,,1
,,,,,,,,60.0,,1
2.0,,,,12.0,,4.0,,60.0,,1
,,12.0,,,,,1.0,40.0,,1
,,11.0,,,,4.0,,,,1
,,,,,,,,,,0
2.0,,,2.0,,,,1.0,40.0,,1
,2.0,,,,0.0,2.0,,40.0,,1
,,,,,,,1.0,,39.0,0
,,,,,5.0,,,,,0
,4.0,,,,0.0,,,,,0
,,,,,,,,,,1
,,,,10.0,,1.0,,,19.0,1
,4.0,,,,0.0,,,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,1
1.0,,,,7.0,,,1.0,40.0,,0
,4.0,,2.0,12.0,,4.0,,40.0,,1
2.0,4.0,11.0,,3.0,,,,,,0
,,,,,,,1.0,,,1
,,,,,0.0,,,60.0,,1
,,,,,,,,6.0,,0
,,,,10.0,,4.0,,,,1
4.0,,,,11.0,,,1.0,,,1
,,,,,,,,,3.0,1
2.0,,,2.0,,,,,,,1
,,,,,0.0,,,,,0
,2.0,,,,,,,,,1
2.0,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,1.0,,,1
,4.0,,,,,,,,,1
0.0,,,,8.0,,,,,,0
2.0,,,,,,,,,,1
1.0,,,,,,,,,,0
,,,,,,,,40.0,,1
2.0,,14.0,,,,,,55.0,,1
1.0,,9.0,,,,,,18.0,,0
2.0,,,,,,,,,,1
2.0,2.0,,,,,,,40.0,,1
2.0,,,,1.0,,,,,,1
2.0,,,,,0.0,,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,4.0,,,10.0,,,,,39.0,0
,,,4.0,,,,,,,1
,,,,5.0,,,,,,1
,2.0,,,,,,,,,0
,,9.0,,,,,,,,0
,0.0,,,,,,,,,0
,4.0,11.0,,,,,,,,0
,,,,,,4.0,,,,1
4.0,,,2.0,,,,,,,0
,,9.0,,,,,,,,1
,,,,,1.0,,,,,0
,,,,,,,,,39.0,1
,,,,,,,,,39.0,0
,4.0,,,,,,0.0,,39.0,1
,7.0,15.0,,,1.0,,0.0,40.0,,0
,,,2.0,,,,,,,0
,6.0,,,,,,,,,0
,,,,,,4.0,1.0,,,1
,,,,,,,,48.0,39.0,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,4.0,,,,,,1.0,38.0,,0
,,,,,,,,,,0
,,,,,,,,,,1
1.0,,15.0,,,,,,,,0
2.0,,,,,,,,,,1
2.0,,,,,,,,,,1
,,,,0.0,,,1.0,,,0
,,7.0,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,4.0,,,,,,,,,1
,,,,8.0,,,,40.0,,0
,,15.0,,,,0.0,,,,0
,,15.0,4.0,8.0,,,,,,0
2.0,,14.0,,,,,0.0,,,1
,,,,,0.0,,,,,0
,,,,,,,,,,1
,,,,,,,,40.0,,1
,,,,,,4.0,,,,1
,,,,,,,,,,0
4.0,5.0,,,,,,,,,1
,,,,,,,,,,0
,4.0,,,12.0,,,,,,0
,,,,,,,,,,1
,,,,,,,,40.0,,1
,5.0,,,,,,,60.0,39.0,1
2.0,,15.0,,3.0,,4.0,,,,1
1.0,,,,,,,,,39.0,0
2.0,,,,,,,,40.0,,1
,,,,1.0,,4.0,,,39.0,0
2.0,,,,10.0,,1.0,0.0,,,0
,,,,,,,,,,0
,,,4.0,10.0,,,,40.0,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,12.0,,,,,,0
,,,,,,4.0,,40.0,,1
,2.0,,0.0,,,,,,39.0,0
,,,,,,,,,,1
,2.0,,,,,4.0,,44.0,,1
2.0,,,,,,,,,,0
,,,,,,,,,,0
4.0,,,,,,,,,,1
,,,,,,,,,,1
,1.0,,,,,,,,39.0,1
2.0,,,,,,,,,39.0,1
,,,,,,0.0,,,39.0,0
,4.0,,,,,,,60.0,,1
1.0,,,,,,,,,,0
,,,,,,,,,,0
,,12.0,,10.0,,,,,,0
,4.0,,,,0.0,,,,,0
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,0.0,,,,,0
,,,,,,4.0,1.0,,,1
,,,,,,,,40.0,,0
,,,,,,,,40.0,,0
,,15.0,,,,,,,39.0,0
,,,,,,,,,,0
2.0,,9.0,,,,,,,,1
,,11.0,,,,,1.0,,39.0,1
,4.0,,,,,,,,,1
0.0,0.0,11.0,,,,,,,,0
,,12.0,,,,,,,,1
,,9.0,,,,,,,39.0,1
2.0,,,,10.0,,4.0,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,,,0.0,,4.0,,0.0,,,0
,,,,,0.0,,,,,0
,,,,,,4.0,,,,1
2.0,,,,,,,,45.0,,0
,4.0,,,6.0,,4.0,,,,0
,,,,,,4.0,,,,1
,,,,,,,,,,0
1.0,,,4.0,9.0,,,,15.0,,0
2.0,,,,,,,,,,1
,,,,1.0,,,0.0,,,0
,,,,,3.0,2.0,,,,0
,,,,,,,,,,1
,4.0,,,,,,,,,0
,,,,,,,,40.0,,0
,,,,,,,1.0,,,1
2.0,,,,,,,,,,0
,,,,,0.0,,,,,1
,4.0,,,,,,,,2.0,0
,,,,1.0,5.0,,0.0,,,1
,,,,,,,,40.0,,1
,7.0,,,,,,,,,1
,,,,14.0,,,,,,0
,,,2.0,,,,1.0,,39.0,0
,,9.0,5.0,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,2.0,,,,,,,40.0,8.0,0
,,,,,,,,,,0
,,,,,,,,,19.0,0
,,,,,,,1.0,,,1
4.0,,11.0,2.0,,,,,,,1
,,,,,,,,,,1
,,,,3.0,,4.0,1.0,,,1
1.0,,9.0,,,,,,,,1
,,,,10.0,,,,,,0
,,,2.0,,,,,,39.0,1
,,,,,,,,,,0
,4.0,,,10.0,0.0,4.0,,,39.0,1
,,,,,,,,40.0,39.0,1
,6.0,,,,,4.0,,,,0
2.0,4.0,15.0,,,,,,,,1
,,,,4.0,,,1.0,40.0,,1
,,,,,,,,,,1
,4.0,,,,,,,,,1
,2.0,,,,1.0,,,,,0
,,12.0,,,,,,,,0
,,,,12.0,,,,,,0
2.0,,12.0,,,,,1.0,,,1
,,,5.0,,,,,,,0
,,9.0,,,,,,,,1
,,,2.0,,,4.0,,,,1
,4.0,,,,,4.0,,,,1
,,,,,,,,,,1
2.0,,,,,,,,,39.0,0
,,9.0,,,,,,,,1
1.0,4.0,9.0,,,,4.0,,,,1
,,,,,,4.0,1.0,,,0
1.0,,15.0,,0.0,,,1.0,,,0
,,,,,,,,,,1
,4.0,,,,,4.0,,,,1
,4.0,11.0,,,,,,,,0
,,,,,,4.0,,,,0
,4.0,,,,,,,,,0
,,,,,,,1.0,,,0
,,,,,0.0,,,,,1
,,0.0,,,,,,,,0
2.0,4.0,11.0,,,,,,,,0
,,,2.0,,,,,,,1
,,,,,,,,,39.0,0
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
2.0,,,,,,,,,,1
1.0,,,,,,4.0,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,39.0,1
2.0,,,,,,,,,,0
2.0,,,0.0,,1.0,,,45.0,39.0,0
2.0,,,,,,,,,,1
,,9.0,,,,,1.0,,,1
4.0,0.0,,,,,,,,,0
2.0,4.0,12.0,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,10.0,39.0,0
,,,2.0,4.0,,4.0,,,39.0,1
,4.0,7.0,,3.0,,4.0,,50.0,,0
,,,2.0,,,,,,,0
2.0,,,,,,,,40.0,,1
,0.0,,,,,,,,39.0,0
,,,,,,,,,,0
,,,,,5.0,,,,,1
2.0,4.0,,,,,,,,,1
1.0,,,,,,,,,,1
2.0,,,4.0,,,4.0,1.0,,,1
,,,,,,,1.0,40.0,,1
,,,4.0,,,,,,,0
,,9.0,,0.0,,,,,,0
,,,,10.0,,,,,,1
,,,,4.0,5.0,,,,,1
,,15.0,,,,,,,,0
,1.0,,2.0,,,,,,,1
,,,,,,,,,,0
,,,2.0,,,,,,,0
,,,2.0,,,,,,9.0,1
,4.0,,,,,,,,,0
0.0,,15.0,,,,,,,39.0,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,1.0,,,0
,,,,,1.0,,,,,1
,,,,,,,,,,0
,,11.0,,,,,1.0,,,0
,,1.0,,3.0,1.0,,,,,1
,,,4.0,,,4.0,,,,0
,,,,,,4.0,,,,0
2.0,,,,,,,,,,1
,,,,,,2.0,,50.0,,0
,,,,,,,,43.0,,0
,,,,4.0,,,,,,1
,,9.0,,4.0,,4.0,,,,1
,,,,,,,,,,0
,,3.0,,,,,,,,0
,,,,,3.0,,,40.0,39.0,0
2.0,2.0,,,8.0,,2.0,1.0,,,0
,,,,,0.0,,,60.0,,1
,4.0,,,,,4.0,,,39.0,0
2.0,,,2.0,,0.0,4.0,,,,1
,,,,4.0,,,,,,1
,,,,6.0,,,,,,0
,,,,4.0,,,,,,1
,,,,,,,0.0,,,0
,,11.0,,,,4.0,,,,1
,4.0,15.0,,1.0,5.0,,,,,1
,,,,,,,,,,0
0.0,,,,,,,,,,0
2.0,,11.0,,,,,,,39.0,0
,,,6.0,9.0,4.0,,,,,0
,4.0,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,39.0,0
,4.0,12.0,,4.0,,,,,,0
,,,,13.0,,,,,0.0,1
,,11.0,,10.0,0.0,,,,,0
,,,2.0,,,,,,,1
,,,,,,,1.0,,,1
,,,,,,,1.0,,,0
,,,,,,4.0,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
2.0,6.0,,2.0,,,,,,,1
,,,,,,4.0,,,,0
,,,,,,,,,,0
2.0,,,,,,,,,12.0,1
,,,,,,4.0,,,,1
,,11.0,,,,,0.0,,,0
,,,,,,,,,39.0,0
1.0,,,,,,,,,,0
,,,,,,,,,,1
,,,,,1.0,,,,,0
,,0.0,,,3.0,,1.0,,,0
,,11.0,5.0,,,,,50.0,39.0,0
,,11.0,,,,,1.0,,,0
,4.0,,,,,,,35.0,,0
,,,,,,,1.0,,,0
2.0,4.0,11.0,4.0,,,4.0,,,,1
,,,,,,,,,,1
,,,,,,,1.0,,,1
4.0,,,,,,,,40.0,39.0,1
,4.0,,4.0,,,2.0,,,,0
,,,,4.0,,,,50.0,,0
,,,,8.0,,,0.0,,,0
,,,0.0,,,4.0,1.0,40.0,,0
,4.0,,,,,4.0,,,,0
2.0,,,,8.0,0.0,,,,,1
,,,2.0,,,,,,,0
1.0,,,,,,,,,,1
2.0,2.0,,4.0,,,,,,,1
,,,,,,,,,,0
,,9.0,,,,,,,39.0,0
,,,,,0.0,,,,,1
,,,,,,,,,,0
,,9.0,,,,,,,,1
,,,,,,,,,39.0,1
