Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
2.0,,,,,,,,,,0
,,,,,,,,,,1
,4.0,,,,,,,,,0
,,15.0,,,,,,,,1
,,,,,,,,,39.0,1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,11.0,,,,,,,,0
1.0,,,,,,,1.0,,,1
,,,,,4.0,,,,,0
,4.0,,,,,,,,,0
,4.0,,,,,,,,,0
,,,,,,,1.0,,,1
,,,,,,,,,,0
,,11.0,,,,,,,,1
,,,,,3.0,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,,11.0,2.0,,,,,40.0,,1
,4.0,,,,,,1.0,,,1
,,,,,,,,,,1
,,,,,,,,40.0,39.0,0
,7.0,,,,,,,,,1
,,,,,,,,,,1
2.0,4.0,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
2.0,,,,,,,,,,1
4.0,,,,,,,,,,0
,,15.0,0.0,,,,,,,0
,,1.0,,,0.0,,1.0,,,1
4.0,,,,,,4.0,,,,1
,,,,,,,,,,0
,,,0.0,,,,,,,0
,,,,,4.0,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,16.0,0
,,,,,,,,,,0
,4.0,,0.0,,,,,,,0
,4.0,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,1.0,,,1
,,,,,,,1.0,,39.0,1
,,,,,0.0,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
2.0,,,,,,,,,,0
,,,2.0,,,,,,39.0,1
,,9.0,,5.0,,,1.0,,,1
,,,,,0.0,,,,39.0,1
,5.0,,,,,,,,,1
,,,2.0,,,,,,,1
4.0,,,2.0,,,,,45.0,,0
,,,,,,4.0,,,,0
,,,,,,4.0,0.0,,,0
,,,,,,,,56.0,,1
,,,,4.0,0.0,,,,3.0,1
,,,,,,,,,,0
,,,2.0,,0.0,,1.0,,,0
,,,,,,,1.0,40.0,39.0,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,7.0,,,0.0,,,0
,,,,,,,,,,1
,,,,4.0,,,,,,1
,,,,,,,,,,1
,,,,,0.0,,,40.0,,1
2.0,,,,4.0,,,,,,1
,,,,,,,,,26.0,0
,,,,,,,,,,0
,,14.0,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,4.0,,,,1
,,,,,,4.0,,,,0
2.0,,,,,,,,,,1
,,,,,,4.0,,,,0
,,,,,,4.0,,,,1
,,,,,,,,40.0,39.0,0
,2.0,,,,,,1.0,,39.0,0
,,15.0,,,,,,,,0
,,,,,,4.0,,,,1
1.0,4.0,,,,,,,,,1
,,9.0,,,,,1.0,,,1
,,,,,,4.0,,,,0
,,,,,,2.0,,,39.0,0
,,,,,,,,,,0
,,,,,,,,,,1
2.0,,,2.0,,,,0.0,,,1
,,15.0,2.0,,,,,,,1
,,,,,,,,,,1
,,,,,,,,45.0,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,0.0,,,,,,,0
,,,,,,4.0,,,,0
,,,,,,,,40.0,,0
,,14.0,,,,,,,19.0,0
,,,,,,,,,,1
,,,,,,,1.0,,,0
,4.0,,,,,,,40.0,,1
,,,,,,,,,,0
,,,,,4.0,4.0,,,,1
,,,,,,4.0,0.0,,,1
,,,,,,,,40.0,39.0,1
2.0,,,,,,,,,,1
,,,,,,,,,,1
,4.0,,,,1.0,,,,,0
,,,,,0.0,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,36.0,39.0,1
,,,,10.0,,,,,,1
,,,,,,4.0,,,,0
,,,2.0,,,,,,,1
,,,,,,,0.0,,,0
,,,,,,,,,,1
,4.0,,,,,4.0,,,,0
,,,,,,,,,39.0,1
,,,,,,,,,,1
,,9.0,,,,,,35.0,,0
,,,,4.0,,,,,,0
,,,,3.0,,,,,,1
,,,,,0.0,,,,,1
,,,,,,,0.0,,,1
,4.0,,,,,,,,,0
2.0,,,,,,,,,,1
,,,,,,,,,,1
,4.0,6.0,2.0,,,,,,,0
,,,,,,3.0,,,,0
,,,,,,,,,39.0,0
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,1.0,,,,,1
,,,,,,,,,,0
,,,,,,,,24.0,39.0,0
,,,,,,,,40.0,,0
,,,,,,,,,,1
,,,,,,,,,39.0,0
,,,,,,4.0,,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,12.0,,,,,,,,1
,,,4.0,,,,,,39.0,1
,,,,,,,1.0,,,1
2.0,7.0,,,,,,,,,1
,,,,,,,0.0,,,1
2.0,,12.0,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,4.0,,,,1
,,15.0,,,,,,,,0
4.0,,,,,,,,,,1
,0.0,,,,,,,,,0
,,,,,,,,,,1
,4.0,,,,,,,24.0,,0
,,,,,,,,,,1
,,,,,,4.0,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,2.0,,,,0.0,4.0,,,,1
,4.0,,2.0,,,,,,,1
,,,,,4.0,,0.0,,,0
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,4.0,1.0,,,1
,,,,,,,,,,0
,,,0.0,,,,,,39.0,0
,,,,6.0,,,,,,0
,,,2.0,,,4.0,,50.0,,0
,,,2.0,,,,,,,1
,,,,,,,1.0,,,1
,,,0.0,,,,,40.0,,0
0.0,,,,,,,1.0,,39.0,0
,,12.0,,,,1.0,,,,1
,,,,,,,1.0,,39.0,1
,,,,,,,,,,0
2.0,,,,,,,,,,1
,,9.0,4.0,,,,,,,1
2.0,,,,,,,,,,1
,,,,,,,,,,1
,,,,,0.0,,,,,0
,,,,,,,0.0,,,0
2.0,,,,,,,,,,1
,4.0,,,4.0,,4.0,,,,1
,4.0,9.0,,,,,,,,1
,,,2.0,,,,,,,1
,,,,,,,,,,0
,,11.0,,,,,,,,0
,,,,,,,,40.0,,1
1.0,,,,,,,,,,1
,,,,,,,,,39.0,1
4.0,4.0,,,,,,,,39.0,1
2.0,,,,,,,,,,0
,,,,,0.0,,,,,1
,,,,,0.0,4.0,,,,1
,,,,,,,,,,1
4.0,1.0,11.0,,,,,,,,1
,,,,,,,,,5.0,0
,,,,,,,,,39.0,0
,,,,8.0,,,,,,0
,,9.0,,,,,,,,1
,,,,,,,,,,0
,,,,,0.0,4.0,1.0,,,1
4.0,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,11.0,,,,,,,39.0,0
,,,,,,,,,39.0,1
,,,,,,,,,,0
,,,,,,,,,39.0,1
2.0,,,,,,,,,,1
,,,,,,,,,,1
,4.0,,,,0.0,,,,,0
2.0,,,,3.0,,,,,,1
,,,,,,,,40.0,,1
,,,,,,,,30.0,,0
,4.0,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,11.0,,,,,,,,1
2.0,,,,,,,,,,0
,,,,,,,,,,1
1.0,,,,,2.0,4.0,,40.0,,0
,4.0,,,,,,,,,0
,4.0,9.0,,,,,,42.0,,1
,,12.0,,,,,,,,1
,,,,4.0,,,,,,0
,,,,,,4.0,1.0,,,0
,,,,,,,1.0,,,1
,,,,,,,1.0,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,26.0,0
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,4.0,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,7.0,,,,,,,,1
,,,,,,4.0,,,,1
2.0,4.0,,,,,,1.0,,39.0,1
,4.0,,2.0,,,,1.0,,,1
,,15.0,,,,,1.0,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,1
2.0,,,,,,,,,,0
,,,,,,,,,,1
,,,2.0,,0.0,,,,,0
,2.0,15.0,,,1.0,,0.0,,,0
,,11.0,2.0,,,,,,,0
,4.0,,,,,1.0,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,1.0,,,0
,,,,,,,,,,0
,,,,,,4.0,1.0,40.0,,0
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,39.0,0
,,,,,,,,,,1
,,9.0,,,,,1.0,,,1
,,,,,,,0.0,,,0
,,,,,,,,,,1
,4.0,,,,,,,,,0
,,,2.0,,0.0,,,45.0,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,1.0,,39.0,0
,,,,,,,,,,1
,2.0,,,,,,,,,0
1.0,,,,,,4.0,,,,0
,,,,,,,,,,0
,,,,5.0,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,4.0,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,25.0,,0
,,,,,,,,,,1
,,,,,,4.0,0.0,,,0
,4.0,,,,,,,,,1
,,,,,,,,60.0,,1
,,5.0,,,,,,,,1
,,,,,,,,,,1
,,,,10.0,,4.0,,,,1
,,,,,,,,,,1
,6.0,8.0,,,,,,,,1
,4.0,1.0,,,,,,,,0
,,,,,,,,,,1
,,15.0,,,,,,,39.0,1
,,,,,,,,,,0
,,,,,,,,,,0
,,0.0,,,,,0.0,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,4.0,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,15.0,,0
,,15.0,,1.0,,,,,,1
,,,,14.0,0.0,,,,,0
,,9.0,,,,,,,,0
0.0,,12.0,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,0
,,11.0,,,,,,,,1
1.0,,,2.0,3.0,0.0,,,,,0
,,,,,,,,,,1
,,,,,,,,,,1
,7.0,,,,,1.0,,,,1
,,,,,,,,,39.0,1
,,,,8.0,,,,,,0
,,,,,,,,,,1
,,,,,,,,,39.0,1
,,,,14.0,,,,73.0,,1
,,,,,,,1.0,,,0
,4.0,9.0,,,,,1.0,,,1
,4.0,,,6.0,,,,,,0
1.0,,,,,,,,,,1
4.0,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,1.0,,,1
,,,,,,,,,,0
,4.0,,,,,,,,,0
,,,,,0.0,4.0,1.0,,,1
,,,,,,,,,,1
0.0,,15.0,,14.0,,,,,,0
,,,,5.0,,,,,,0
,,,,,,,,,39.0,1
,0.0,,,,,,,,,0
,,,,,,,,,,1
2.0,,,,,,,,70.0,,1
2.0,,,,,,,0.0,,,1
4.0,,,6.0,,,4.0,,,,1
,,,,,,,,50.0,,1
,,,,,,,,,,1
,,,,,,4.0,,,,0
,,,,,,,,,,1
2.0,,,2.0,12.0,,4.0,,,39.0,1
,,,,,4.0,,,,39.0,0
,,9.0,,,,,1.0,,,1
4.0,,,,,,,,,,0
,,,,,,,,,,0
2.0,,,,,1.0,,,40.0,,0
,,,,,,,,,,0
,,,,,,,1.0,,,1
,,,,,1.0,,,,,1
,,,,,,,,,,1
,,,,,,,1.0,,,1
,,,,,,,,,,0
,,,2.0,,,,,40.0,,1
4.0,,,2.0,,,,,40.0,,0
,,,,,,,,,,0
,,,,,,,,,,1
,,,,12.0,,,,,,0
,4.0,,,,,,0.0,40.0,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,1.0,60.0,,0
,,,,,,,1.0,,,1
,,11.0,,,,,,,,0
,,11.0,,,,,0.0,,39.0,0
,,15.0,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,2.0,14.0,0.0,,1.0,,,0
,,,,10.0,,,,,,1
,,,,,,,,,,1
2.0,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,1.0,,,1
,,15.0,,,,,,,39.0,1
,,,,,,,,,,1
,,,,,,,,32.0,30.0,0
,,,,,,,,,,1
,,11.0,,,,,,40.0,,1
,,,,,0.0,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
,,,0.0,,,,,40.0,,1
,,,,,,,,,,1
,,,,,4.0,,,,,0
,,,,,,4.0,,,,0
,,,,,,,,,,0
2.0,,,,6.0,,,,,,1
,,,,,,4.0,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
2.0,,,,,,,,,,0
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,,,,,,,,,,1
,,,,,,,,,,0
,6.0,12.0,2.0,4.0,,,,,,1
,7.0,,,,,,,,,1
,,,,,,,,,,1
0.0,,,,,,,,,,0
,4.0,,,,,,,,,0
,,,0.0,,,,,38.0,,0
,,,,,0.0,4.0,,,,1
,,,,,,,,,39.0,1
2.0,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,0
