Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
2,4,15,0,1,7,4,0,40,39,0
2,4,11,4,8,4,4,0,40,39,0
2,9,20,2,3,0,4,1,41,-5,0
2,2,12,5,10,4,4,0,50,39,0
2,4,14,4,10,1,2,0,40,39,0
0,1,11,4,8,1,0,0,25,39,0
1,4,8,2,3,0,4,1,40,39,0
2,4,11,6,1,4,4,0,40,39,0
4,4,5,2,3,0,4,1,40,39,0
1,7,9,4,10,1,3,1,40,2,0
1,4,15,0,1,1,4,1,40,39,0
2,7,12,0,10,4,4,0,40,39,0
2,4,8,2,1,0,4,0,40,39,0
2,7,9,2,4,0,1,1,40,30,0
0,4,1,4,8,3,2,1,7,39,0
2,1,11,0,1,1,2,0,52,39,0
1,4,11,4,3,2,2,1,40,39,0
4,4,11,2,6,0,4,1,126,39,0
1,4,3,2,-5,5,0,0,35,26,0
2,4,11,2,3,0,4,1,111,39,0
4,4,5,2,10,0,4,1,18,53,0
3,4,0,4,8,3,4,1,8,39,0
2,4,11,2,3,0,4,1,50,39,0
2,4,11,4,7,4,0,0,40,39,0
2,4,22,2,13,0,4,1,40,54,0
1,4,15,4,1,1,4,0,40,39,0
2,7,11,5,12,4,2,0,40,39,0
2,4,11,4,-8,4,4,1,40,39,0
4,4,8,2,3,0,4,1,40,39,0
1,0,6,2,0,-2,4,0,40,39,0
2,4,11,0,8,1,4,0,35,39,0
2,4,15,0,1,4,4,0,40,39,0
2,4,2,0,12,1,4,0,45,39,0
-2,4,15,0,12,4,4,1,50,39,0
2,4,11,2,7,0,4,0,40,39,0
4,4,11,3,8,1,4,1,40,39,0
4,0,0,2,0,0,4,1,10,39,0
4,6,5,2,8,0,4,1,25,39,0
1,5,0,2,4,0,4,1,40,39,0
2,4,11,2,7,0,4,1,40,39,0
2,4,1,4,12,4,2,0,17,39,0
1,4,11,4,6,3,4,1,60,39,0
1,4,11,2,9,5,4,0,40,39,0
2,4,9,0,12,4,1,0,40,3,0
1,4,11,7,1,1,4,1,40,39,0
2,4,15,4,14,1,4,1,2,39,0
0,4,11,4,8,2,4,0,40,39,0
2,6,9,2,5,0,4,1,75,39,0
1,4,11,4,6,4,4,1,35,39,0
4,4,11,2,11,0,4,1,40,39,0
1,4,15,2,-5,0,4,1,40,58,0
1,4,0,4,8,3,2,0,-24,39,0
1,4,5,4,3,1,4,1,40,39,0
0,7,11,4,8,3,4,1,25,39,0
2,4,9,4,12,4,4,0,32,39,0
1,4,15,4,10,3,4,1,3,8,0
2,4,9,4,-8,3,4,0,37,39,0
2,4,4,5,9,0,3,0,35,26,0
1,4,11,2,14,0,4,1,48,39,0
-1,7,15,4,1,1,4,0,15,39,0
2,4,11,2,3,0,4,1,50,39,0
4,6,15,6,3,1,4,0,8,39,0
2,4,15,2,14,0,4,1,57,39,0
2,6,11,2,12,0,2,1,112,39,0
1,7,-5,4,-4,3,2,1,40,39,0
4,4,3,2,14,0,4,1,53,0,0
2,0,4,2,0,0,3,1,40,39,0
1,4,0,2,4,0,4,1,40,39,0
0,4,11,4,8,3,4,0,18,39,0
