Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
,1088.995,373.5001394359256,,,,,,,,,,,0.001331064832467,0.6329947327278372,0.9962676709890208,0
73658.0,1085.1419999999998,387.6075044697439,242.33685060330265,,0.7804549925015108,,306.24218910219184,0.7986165322230896,0.9825651970919762,0.7860617076665206,,,,,,0
,,391.006650369572,232.68399787455573,,0.8036593479522678,72038.0,300.50497744762345,,0.984535939365335,,,0.0055130371999544,,,,0
58260.0,,319.51590409274365,232.96705738624811,1.3715068030541404,,,,,0.982312971049925,,0.8524085930901641,,,,,0
70002.0,,382.0247491750567,,1.631802645534367,,71186.0,,,,0.8005004295615061,,,0.0012555556031149,,0.9965640152741914,0
,,466.1359798509625,288.99934162159894,,0.7846102280606252,107112.0,,0.7478883219954648,0.9853424452909104,,0.7864209833508249,,,,,0
,1136.7240000000002,407.7603520208111,,,0.7520239985432567,,330.13721127566737,,0.9838856131397768,0.8324892674468901,,,0.001262594379333,0.655509463313865,0.9944984579220576,0
,,398.3228726041746,,,0.7851961752080776,,,,0.9813314277693416,0.7579304613468008,0.7855869829845454,0.0051794818553543,,0.6171469078347603,0.9966084805102016,0
41488.0,759.552,,186.9854891254084,1.5142500013408295,,42005.0,,,0.9876919414355434,0.9036855546927828,,0.0068246909265056,,0.6589032400926017,,0
68725.0,1130.424,371.8093491396061,236.3081529980224,1.573408891832512,,,295.809715377849,,0.9751823367483043,,,,,0.632971644747974,0.9959232141243122,0
62599.0,,363.7363749081276,221.0639331726245,,0.7941217832504229,,282.3181224450114,,0.9791650373058454,0.8035896331216335,,0.00581057804291,,0.6024264696235629,0.9912264613444024,0
,,345.4561468352179,222.9906300836464,1.549195796727572,,61109.0,,0.7876461988304093,0.987415928913908,,0.8023517193155708,0.0057251598746307,,,0.9973231157487534,0
,1020.991,,,1.638576100137204,0.7921811903318035,69141.0,,,0.9854644856163493,0.8213772514555474,,,0.0012677420926897,0.6091481603703122,,0
81995.0,1186.252,,,1.6005847757226344,0.7808075169713655,83446.0,,,0.982611509239508,0.7322229198492628,0.7899046463517903,,0.0011980229624236,0.623949350328147,,0
62504.0,989.061,,,,0.7466760983541281,63945.0,282.103818662787,,0.9774650089921024,,0.8125246409330023,,,,0.992496098011105,0
70341.0,,402.9134373587052,,,0.8320585832398298,,,0.6733258031167438,0.9823476014244816,0.6473226888964341,,,0.0010754080509703,0.5516900529858036,0.9945956808732674,0
60874.0,,310.3337608079893,,,0.5882104116142256,61578.0,278.4011207703882,0.8203821999407024,,,,0.0050979689326804,,0.8047924799015798,,0
,1068.024,397.2520370537827,,1.7020906732400267,0.8092148969126092,73683.0,,,,,,,,,,0
,,358.5487664221666,224.36813984513557,,0.7800096950799503,63896.0,283.32879630645124,,,0.8470704881983778,,,0.001367812651871,0.624431736513787,0.9978655124404188,0
82032.0,1144.548,,249.07045682370625,,,,,,0.9820898381381094,,0.769242438341345,0.005121535335655,0.0011061980268394,,,0
74933.0,,373.0301534830213,,1.4570067627355865,,76038.0,,,,0.8047475980263531,0.8280330671559131,,0.0014435814854872,,0.9989803105560308,0
