Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
26251.0,612.657,231.56994314062808,,,0.7804138691769883,26632.0,182.8218020063328,,0.9856939020726944,0.87886246360323,0.7894884781973132,,,0.6232920572063095,,3
66877.0,,391.04318018815815,,1.781342472760601,,67627.0,291.8054849266091,,0.98890975497952,,,0.0058471997874928,0.0011184141023556,,0.9919388323656464,2
74237.0,,,257.7340379656367,1.431848480641891,0.7157096799398301,75569.0,,0.7467309085056731,,0.8222669054872362,0.8330986389350243,0.0049710533921197,0.0014771135778868,,0.9937792235068956,0
,,,,1.1149626386344709,0.4422515836195334,34299.0,208.04141857856663,0.778228021978022,0.9910784570978746,0.9541742314155844,0.946716152533979,,0.003203313439301,0.8962714734687404,,5
,1581.5679999999998,,366.3766662475725,,0.7853671238810085,,,0.6839923985120492,,0.8498546177922223,0.78414142675659,0.0034986895208385,,0.6148777771558608,,1
79634.0,1074.5499999999995,,,,0.8066239392718244,,,,0.9895495495495495,,,0.0052208371925784,,0.5865854512390026,,2
,,346.40467276541625,,,0.8733702859782356,,240.61478620120707,0.7844696708301705,,,,,0.0010939142510104,0.4824775837461921,,4
171230.0,,,381.8102749610742,,,172843.0,466.9226994321457,,,0.8868928464485849,,0.0033520492406198,0.000905543083192,0.6617736680827535,0.9948374310965528,1
31254.0,,,,1.3653520100055732,,31660.0,199.4839059451984,0.711029211029211,0.9871762476310804,,,0.0074700913525857,0.002455902073132,0.730050134060951,,3
,782.0269999999999,301.82362336324616,,1.6528043169271998,0.7962009256430779,,,,,,0.7754921586578795,,,,,6
51191.0,,319.1020181000046,205.4676187382897,,,,255.3006179674027,,0.9874997588688054,,,,0.0015754512205201,0.6400952883712064,0.9941016474996142,6
159689.0,1538.9689999999998,,362.4810343393341,1.5631082609051254,,161935.0,450.9127960694988,,0.9861302374409484,,0.795826164144416,,,,,1
95737.0,,431.620041396861,283.3158307181504,1.5234589620452494,,97477.0,349.13626894711217,,,0.7286379938570722,0.808897260231928,0.0045083932168008,,,,0
,,,189.13298024675177,,,40496.0,,0.721806549555411,,,0.83693342746246,,,0.7004575620040607,,3
,,,180.48845741813588,,0.8721117994868683,,,0.700631211388665,,0.8200429246603088,0.6987036479345274,,0.0010394595607832,,,4
