,FeatureImportance
0,0.03357547246300164
1,0.014924819786335435
2,0.0874029251972621
3,0.05000246463605781
4,0.007406780606213057
5,0.004184623855168299
6,0.06999437433329254
7,0.08118917544741784
8,0.004799416722495397
9,0.0031213419417762543
10,0.022378852665287233
11,0.003907297778859877
12,0.01592897699170477
13,0.025582243305995157
14,0.003438726340680242
15,0.004831458815481073
16,0.005280754801508439
17,0.0072076052071477215
18,0.0037961632699510827
19,0.005756192398438867
20,0.11493042198112982
21,0.019828314005539385
22,0.1488273531236666
23,0.0906440389656635
24,0.014753395121087906
25,0.008385661079496268
26,0.027251332243339546
27,0.10351718057808476
28,0.00908806823591074
29,0.008064568102006744
