0,1,2,3,class
5.1,3.5,1.4,0.2,0.0
4.9,3.0,1.4,0.2,0.0
4.7,3.2,1.3,0.2,0.0
4.6,3.1,1.5,0.2,0.0
5.0,3.6,1.4,0.2,0.0
5.4,3.9,1.7,0.4,0.0
4.6,3.4,1.4,0.3,0.0
5.0,3.4,1.5,0.2,0.0
4.4,2.9,1.4,0.2,0.0
4.9,3.1,1.5,0.1,0.0
5.4,3.7,1.5,0.2,0.0
4.8,3.4,1.6,0.2,0.0
4.8,3.0,1.4,0.1,0.0
4.3,3.0,1.1,0.1,0.0
5.8,4.0,1.2,0.2,0.0
5.7,4.4,1.5,0.4,0.0
5.4,3.9,1.3,0.4,0.0
5.1,3.5,1.4,0.3,0.0
5.7,3.8,1.7,0.3,0.0
5.1,3.8,1.5,0.3,0.0
5.4,3.4,1.7,0.2,0.0
5.1,3.7,1.5,0.4,0.0
4.6,3.6,1.0,0.2,0.0
5.1,3.3,1.7,0.5,0.0
4.8,3.4,1.9,0.2,0.0
5.0,3.0,1.6,0.2,0.0
5.0,3.4,1.6,0.4,0.0
5.2,3.5,1.5,0.2,0.0
5.2,3.4,1.4,0.2,0.0
4.7,3.2,1.6,0.2,0.0
4.8,3.1,1.6,0.2,0.0
5.4,3.4,1.5,0.4,0.0
5.2,4.1,1.5,0.1,0.0
5.5,4.2,1.4,0.2,0.0
4.9,3.1,1.5,0.2,0.0
5.0,3.2,1.2,0.2,0.0
5.5,3.5,1.3,0.2,0.0
4.9,3.6,1.4,0.1,0.0
4.4,3.0,1.3,0.2,0.0
5.1,3.4,1.5,0.2,0.0
5.0,3.5,1.3,0.3,0.0
4.5,2.3,1.3,0.3,0.0
4.4,3.2,1.3,0.2,0.0
5.0,3.5,1.6,0.6,0.0
5.1,3.8,1.9,0.4,0.0
4.8,3.0,1.4,0.3,0.0
5.1,3.8,1.6,0.2,0.0
4.6,3.2,1.4,0.2,0.0
5.3,3.7,1.5,0.2,0.0
5.0,3.3,1.4,0.2,0.0
7.0,3.2,4.7,1.4,1.0
6.4,3.2,4.5,1.5,1.0
6.9,3.1,4.9,1.5,1.0
5.5,2.3,4.0,1.3,1.0
6.5,2.8,4.6,1.5,1.0
5.7,2.8,4.5,1.3,1.0
6.3,3.3,4.7,1.6,1.0
4.9,2.4,3.3,1.0,1.0
6.6,2.9,4.6,1.3,1.0
5.2,2.7,3.9,1.4,1.0
5.0,2.0,3.5,1.0,1.0
5.9,3.0,4.2,1.5,1.0
6.0,2.2,4.0,1.0,1.0
6.1,2.9,4.7,1.4,1.0
5.6,2.9,3.6,1.3,1.0
6.7,3.1,4.4,1.4,1.0
5.6,3.0,4.5,1.5,1.0
5.8,2.7,4.1,1.0,1.0
6.2,2.2,4.5,1.5,1.0
5.6,2.5,3.9,1.1,1.0
5.9,3.2,4.8,1.8,1.0
6.1,2.8,4.0,1.3,1.0
6.3,2.5,4.9,1.5,1.0
6.1,2.8,4.7,1.2,1.0
6.4,2.9,4.3,1.3,1.0
6.6,3.0,4.4,1.4,1.0
6.8,2.8,4.8,1.4,1.0
6.7,3.0,5.0,1.7,1.0
6.0,2.9,4.5,1.5,1.0
5.7,2.6,3.5,1.0,1.0
5.5,2.4,3.8,1.1,1.0
5.5,2.4,3.7,1.0,1.0
5.8,2.7,3.9,1.2,1.0
6.0,2.7,5.1,1.6,1.0
5.4,3.0,4.5,1.5,1.0
6.0,3.4,4.5,1.6,1.0
6.7,3.1,4.7,1.5,1.0
6.3,2.3,4.4,1.3,1.0
5.6,3.0,4.1,1.3,1.0
5.5,2.5,4.0,1.3,1.0
5.5,2.6,4.4,1.2,1.0
6.1,3.0,4.6,1.4,1.0
5.8,2.6,4.0,1.2,1.0
5.0,2.3,3.3,1.0,1.0
5.6,2.7,4.2,1.3,1.0
5.7,3.0,4.2,1.2,1.0
5.7,2.9,4.2,1.3,1.0
6.2,2.9,4.3,1.3,1.0
5.1,2.5,3.0,1.1,1.0
5.7,2.8,4.1,1.3,1.0
6.3,3.3,6.0,2.5,2.0
5.8,2.7,5.1,1.9,2.0
7.1,3.0,5.9,2.1,2.0
6.3,2.9,5.6,1.8,2.0
6.5,3.0,5.8,2.2,2.0
7.6,3.0,6.6,2.1,2.0
4.9,2.5,4.5,1.7,2.0
7.3,2.9,6.3,1.8,2.0
6.7,2.5,5.8,1.8,2.0
7.2,3.6,6.1,2.5,2.0
6.5,3.2,5.1,2.0,2.0
6.4,2.7,5.3,1.9,2.0
6.8,3.0,5.5,2.1,2.0
5.7,2.5,5.0,2.0,2.0
5.8,2.8,5.1,2.4,2.0
6.4,3.2,5.3,2.3,2.0
6.5,3.0,5.5,1.8,2.0
7.7,3.8,6.7,2.2,2.0
7.7,2.6,6.9,2.3,2.0
6.0,2.2,5.0,1.5,2.0
6.9,3.2,5.7,2.3,2.0
5.6,2.8,4.9,2.0,2.0
7.7,2.8,6.7,2.0,2.0
6.3,2.7,4.9,1.8,2.0
6.7,3.3,5.7,2.1,2.0
7.2,3.2,6.0,1.8,2.0
6.2,2.8,4.8,1.8,2.0
6.1,3.0,4.9,1.8,2.0
6.4,2.8,5.6,2.1,2.0
7.2,3.0,5.8,1.6,2.0
7.4,2.8,6.1,1.9,2.0
7.9,3.8,6.4,2.0,2.0
6.4,2.8,5.6,2.2,2.0
6.3,2.8,5.1,1.5,2.0
6.1,2.6,5.6,1.4,2.0
7.7,3.0,6.1,2.3,2.0
6.3,3.4,5.6,2.4,2.0
6.4,3.1,5.5,1.8,2.0
6.0,3.0,4.8,1.8,2.0
6.9,3.1,5.4,2.1,2.0
6.7,3.1,5.6,2.4,2.0
6.9,3.1,5.1,2.3,2.0
5.8,2.7,5.1,1.9,2.0
6.8,3.2,5.9,2.3,2.0
6.7,3.3,5.7,2.5,2.0
6.7,3.0,5.2,2.3,2.0
6.3,2.5,5.0,1.9,2.0
6.5,3.0,5.2,2.0,2.0
6.2,3.4,5.4,2.3,2.0
5.9,3.0,5.1,1.8,2.0
5.5,2.4,3.810043027366313,1.1,1.0
5.0,3.5,1.602012343394723,0.6,0.0
5.0,3.5,1.617345080384552,0.6,0.0
5.0,3.5,1.6049570392924628,0.6,0.0
5.0,3.5,1.6047674494831026,0.6,0.0
5.0,3.5,1.5908781149611673,0.6,0.0
5.0,3.5,1.5922234355899185,0.6,0.0
5.0,3.5,1.6140471417443158,0.6,0.0
5.0,3.5,1.6071589127601227,0.6,0.0
5.0,3.5,1.6078273753448897,0.6,0.0
5.0,3.5,1.6071589772079433,0.6,0.0
5.0,3.5,1.5979038110503083,0.6,0.0
5.0,3.5,1.6116347574146215,0.6,0.0
5.0,3.5,1.6162924913631393,0.6,0.0
5.0,3.5,1.587033919295236,0.6,0.0
5.0,3.5,1.6089701612269625,0.6,0.0
5.0,3.5,1.608051232996391,0.6,0.0
5.0,3.5,1.5992042839836558,0.6,0.0
5.0,3.5,1.584545808479138,0.6,0.0
5.0,3.5,1.5875734956984862,0.6,0.0
5.0,3.5,1.5887952268097072,0.6,0.0
5.0,3.5,1.5935368884075312,0.6,0.0
5.0,3.5,1.5930921981079378,0.6,0.0
5.0,3.5,1.6125752445832986,0.6,0.0
5.0,3.5,1.5926342771345967,0.6,0.0
5.0,3.5,1.5824803416946438,0.6,0.0
5.0,3.5,1.6028622621887973,0.6,0.0
5.0,3.5,1.6019896684825596,0.6,0.0
5.0,3.5,1.6130276814507472,0.6,0.0
5.0,3.5,1.5914022433375108,0.6,0.0
5.0,3.5,1.6111767199402947,0.6,0.0
5.0,3.5,1.6100714882701284,0.6,0.0
