0,1,2,3,class
,,,,1
,,,,0
,2.8,,,2
,,,,0
,,,,2
,,,,1
,,,,1
,,,,2
,,,,2
,,,,1
,,,,1
,,,0.3,0
,,,,2
,,,,0
,,,,0
,,,,2
,,,,2
,,,,0
,,,,0
,,,,2
,3.1,,,0
,,,,2
,,,,1
,,,,2
,,,,0
,,,,0
,,,,2
,,,1.6,1
,3.9,,0.4,0
,,,,1
,,,,2
,,,,0
,,,,1
,,,,0
,,,,2
5.1,3.8,,,0
,,,,0
,,,,0
,3.0,,,0
,,,,2
,,,,2
,,,,0
,,,1.4,1
,,,,0
,,,,0
,,,,2
,,,,1
,,,,1
,,,,1
,2.5,,,2
,,,,0
,,,,0
,,,2.3,2
,,,,0
,,,,1
,,,,1
,,,,2
,,,,1
,,,,2
,,,,2
,,,,2
,,,,1
,,,,1
,,,,1
,3.1,,,2
,,,,0
,,,,0
,,,,2
,,,,1
,,,,1
,,,,0
,,,,0
,,,1.5,1
,,,,1
6.0,,,,2
9.138391004698377,-0.33709265285427104,-0.573480140168777,-0.5541493163309252,2
3.413821927464965,1.5090570155639838,-4.5765313186117496,4.428861953889991,2
0.2469332078403612,2.9,-2.20396900553044,5.861871495864902,1
8.85597514600667,0.682390269059965,12.886968658377892,-3.4546672506602922,2
9.632966473693788,4.374716663238917,-3.0371965038670687,-1.9771875170888418,1
2.0913182057076543,0.49009066441701277,10.3407963233065,3.9776382853679326,1
8.834097108513294,6.549310910667379,-5.622149075654976,-2.853641729617289,1
10.963431295023073,0.3654225353975473,-0.08328236737255512,3.889866750949126,0
1.6805381403828115,7.52452654637269,0.9885205029838602,-3.242665715694286,2
8.269647795724305,1.6482987602134345,8.27761074625403,-0.009387582601884326,2
11.081996803322532,1.7543668384726125,9.741988206792652,2.669817635977827,1
2.2244043736565198,5.129793375213532,10.682264367756915,1.0,1
8.974934596797562,1.173397237316418,10.897618517981343,2.416071098843606,2
8.474185623282626,5.64873766134511,-6.209833906987621,-2.9632854240212385,2
10.022494062336758,6.7209133637867655,7.250961166781618,5.717139174971512,1
3.5553429221144266,0.6641189862988381,11.334588620267034,3.535683847753279,2
9.784720882077442,5.1262228776035945,10.10117494777692,6.661224166195197,0
-1.4461875860370452,2.142088791960094,-1.4804474651799069,4.768156784720504,0
10.721633322277658,1.9166052150213755,0.1820872650454035,4.06262352147486,0
0.7400265093803764,5.599587288877543,10.316439309446885,2.955738815724152,0
13.584539845589111,2.9,7.970341721565705,-3.614235641221691,1
3.806813317374538,1.6603508997678122,-8.28662332721131,-0.004449465518999496,2
10.6145113114152,0.7314844869656736,11.089952384158774,-1.0941631641450185,0
2.8358075194842662,9.021072442084407,7.330659374911202,2.859432128641176,2
3.229001007060341,7.577680253799647,14.434123997410985,2.5642537814666952,2
8.766068558814245,4.617483908782827,-2.33739841571232,-0.9125018115360014,2
8.482769952285622,4.830647354022785,0.34036562442126295,-0.40370472640591526,0
-1.9943583997406582,1.0018526422843856,9.934095587087798,1.0,1
3.005704958440408,2.8,13.21229832972784,2.0,2
14.775647941419955,1.416610194982015,-2.694939391842773,-1.0214052432795555,1
10.201734289990135,6.25036199982941,-3.956443831884738,3.2946980550356284,0
2.2444906295207225,1.3061416887053392,17.279213234187374,-1.7086763151333504,0
15.00458288777631,-0.5491060634876255,-0.32467200929119633,-1.23858163315538,1
8.251451312766893,4.614774132957502,8.4101864354346,-1.7328564035018073,1
8.222407384285454,0.5047749393216738,-2.162272783591046,2.7183078898337567,1
5.8,2.7,-9.087156597108237,-3.431458053122821,1
4.138781531334372,0.26068216623327833,-5.1124330107556455,-1.9202292300198398,1
-1.5833442669011706,7.2820364764349685,-8.651162569364354,2.824937533146185,1
10.333585537124954,3.3,-0.7826408658010893,4.436131039899877,2
8.61008641999653,0.7814348560796915,7.13299628530726,7.989708263032295,2
4.577245077413086,8.082959983757672,12.41116526222398,3.5334400314823933,2
4.010472843004831,4.459289849264421,11.259044425379347,-2.5734518940649678,2
1.4396323086641578,1.7728976432360906,-11.160594398405504,0.4,0
9.828561320812746,-1.027381691865475,-2.5161616252549956,3.595146348292904,2
9.978128868034617,0.9888526708344929,-1.56090600210671,-3.734736616223609,2
12.24468689781726,-0.22183393063254875,9.472946833566112,2.4568299699675604,0
2.3719964666658115,6.930711493494837,9.250681904754858,2.8833896230896654,1
10.171110468512525,5.119205171720985,17.46634621233099,-0.03426158370358334,0
9.498503839287752,1.332247617052245,0.10491439543280201,3.8362539207764303,1
8.102256978070661,3.7,10.736548587508247,5.569404385495824,0
9.414383405491112,4.734902654597018,9.956697400765988,-1.7894474192701741,0
11.650251971534331,5.094186744643266,-0.9057356289372527,3.61254675835536,0
4.528791539336096,6.601064692986888,-0.7838259477910556,0.2,0
-1.5700993881071224,1.5504566032294096,11.02639263768599,-0.0709155984757961,0
-3.962462040050748,1.8558371448041178,-6.040388440360178,2.4186063041876236,0
0.7282705649612082,1.5070708782714684,10.91702519798164,3.3316221549600247,0
8.089893823883736,0.042235861498022276,9.19880271923216,4.1849339803843595,1
9.943647780078233,1.6932560873092453,0.1652350679030814,2.642095660562209,0
4.389778461665452,1.0995972533980976,8.890635188504014,6.1530733168513265,0
3.0308960235263798,4.89203419284936,-3.597343578656494,7.366085262788227,0
2.7030850297995546,-0.1826026665246414,-1.7581822846476882,-0.9220173709535279,1
4.078190470444797,8.123930511250759,-1.872794883777516,-0.3549561982736127,1
12.075013011580374,1.0645250873196526,10.968645849435298,2.542812228878266,2
-1.154135565043004,1.492541942380021,15.504892219284375,-1.757099632481594,2
4.314379463373112,3.8,19.863383464924915,-1.5445577432923878,2
9.614312288380606,1.509787276925052,12.08055685335448,3.3771145486964205,1
3.4290446819742257,5.576852151576292,8.936460101873275,6.390391343632837,1
-2.175975795311856,7.889517220517709,14.212618545397879,-2.7675482294597558,1
8.181747173139696,-0.033533105714703915,11.068557390178533,4.416534644160146,0
13.947669729598651,4.925112506282243,8.34859481273953,3.462266954016558,2
2.054052466323917,1.3836962166663942,-0.6849291736172378,-2.6568198402001135,1
11.618155482114306,5.015925549393879,10.348596541904504,5.154391607150708,1
3.489276930325619,6.619758546888489,0.19143656378244556,2.3,2
4.419227503628738,1.0049936271500752,-5.622298915770297,3.804205439905909,2
5.6,4.74381757618454,-0.8739280906129165,2.4121570578726064,1
