word_freq_1,word_freq_2,word_freq_3,word_freq_4,word_freq_5,word_freq_6,word_freq_7,word_freq_8,word_freq_9,word_freq_10,word_freq_11,word_freq_12,word_freq_13,word_freq_14,word_freq_15,word_freq_16,word_freq_17,word_freq_18,word_freq_19,word_freq_20,word_freq_21,word_freq_22,word_freq_23,word_freq_24,word_freq_25,word_freq_26,word_freq_27,word_freq_28,word_freq_29,word_freq_30,word_freq_31,word_freq_32,word_freq_33,word_freq_34,word_freq_35,word_freq_36,word_freq_37,word_freq_38,word_freq_39,word_freq_40,word_freq_41,word_freq_42,word_freq_43,word_freq_44,word_freq_45,word_freq_46,word_freq_47,word_freq_48,char_freq_1,char_freq_2,char_freq_3,char_freq_4,char_freq_5,char_freq_6,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
0.0,0.64,0.64,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,1.93,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.756,61.0,,1
0.21,,,,,0.28,0.21,0.07,0.0,0.94,0.21,0.79,,,0.14,,0.07,0.28,3.47,0.0,,,0.43,0.43,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.048,,,1028.0,1
,0.0,0.71,,1.23,0.19,0.19,,,0.25,,,,0.0,1.75,,0.06,,1.36,0.32,,,,0.06,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.06,0.0,0.0,,,,0.06,0.0,0.0,,0.143,,0.276,,,9.821,,2259.0,1
,0.0,0.0,0.0,0.63,0.0,,,0.31,,0.31,,0.31,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.137,,,,0.0,3.537,,,1
,,0.0,,0.63,,0.31,0.63,0.31,0.63,0.31,0.31,0.31,0.0,,,0.0,0.0,3.18,0.0,0.31,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.135,0.0,,0.0,0.0,3.537,,,1
0.0,,0.0,,1.85,,0.0,1.85,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,54.0,1
0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.64,,,0.0,,0.0,,,,3.85,0.0,0.64,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.054,0.0,0.164,0.054,0.0,1.671,,112.0,1
,,,,1.88,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.206,0.0,0.0,,0.0,2.45,11.0,,1
,0.0,,0.0,,0.0,,0.0,,0.76,,,,0.0,,0.0,,0.15,1.23,,,,,0.15,0.0,,0.0,,,0.0,0.0,0.0,0.15,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.3,,0.0,0.0,,,0.0,0.271,0.0,,,,9.744,,1257.0,1
0.06,,,0.0,0.19,,0.38,,0.06,0.0,,0.64,,,0.12,,,0.12,1.67,,0.71,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.04,0.03,,0.244,,0.0,1.729,43.0,749.0,1
,,,,,0.0,,,0.0,1.92,,0.0,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.462,0.0,0.0,1.312,6.0,,1
0.0,0.0,,,0.38,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,1.16,,0.77,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,0.663,,0.0,,11.0,,1
,0.69,,,0.34,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.34,0.0,1.39,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.056,0.0,0.786,,0.0,,,,1
0.0,0.0,,0.0,0.9,,,,,,,0.0,0.9,0.0,0.0,,0.0,0.0,2.72,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,25.0,1
,0.0,,0.0,,0.35,,0.35,,0.71,0.0,,0.0,0.0,,5.35,,0.0,,0.0,2.85,0.0,0.35,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,0.102,,0.357,,,,,205.0,1
0.0,0.42,,,1.27,0.0,0.42,0.0,,1.27,0.0,,,0.0,0.0,,0.0,0.0,1.7,0.42,,,,0.42,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,1.27,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.659,55.0,249.0,1
0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.83,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.428,0.0,0.0,,,107.0,1
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,2.11,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,1.975,0.37,0.0,,95.0,461.0,1
0.0,0.0,0.55,0.0,,0.0,0.18,,0.0,0.0,,0.0,,0.0,,,0.37,0.37,,0.0,0.92,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.182,0.0,,0.0,0.0,,4.0,70.0,1
0.0,0.63,,,,,0.0,0.0,0.31,0.0,0.0,,0.0,,1.27,0.63,,3.18,2.22,0.0,1.91,0.0,0.31,0.63,0.0,0.0,,0.31,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.59,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.055,,0.0,3.509,91.0,186.0,1
,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.729,0.0,0.729,0.0,,3.833,9.0,,1
,,0.1,0.0,0.76,0.05,0.15,0.02,0.55,,0.1,,,0.0,0.0,,0.02,,2.09,0.1,1.57,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.1,0.0,0.0,,,0.0,,,0.0,,,0.0,0.042,0.101,0.016,0.25,,0.059,2.569,66.0,,1
0.0,,0.0,,2.94,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.94,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.404,0.0,0.809,0.0,0.0,4.857,,34.0,1
0.0,,0.0,,1.16,,,,0.0,,0.0,,0.0,,,1.16,0.0,,,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,,,0.667,0.0,,,5.0,69.0,1
,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,0.0,1.44,,,,,0.196,,0.392,0.196,0.0,5.466,22.0,82.0,1
0.05,0.07,,0.0,,,0.15,,0.55,,0.1,0.47,0.02,0.0,,0.0,0.02,,,0.1,,,0.05,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.02,0.1,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.016,,0.046,0.059,,66.0,,1
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,0.196,,0.392,0.196,,,22.0,,1
,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,3.33,,0.0,,,3.33,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,12.0,47.0,1
0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,3.33,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,0.0,4.0,11.0,,1
0.0,0.0,0.0,0.0,,0.0,0.65,0.0,0.0,0.0,0.65,0.65,,,0.0,0.65,1.3,,,5.22,1.3,0.0,,0.65,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,,,0.0,,2.687,66.0,129.0,1
1.17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,1.17,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.17,,0.0,,0.0,,0.0,0.886,0.0,,1.966,,59.0,1
0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.03,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,11.0,43.0,1
,,,,1.89,0.27,0.0,0.0,0.0,0.0,,0.81,0.0,0.0,,0.27,,,,,2.7,,0.0,0.27,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.091,,,11.0,,1
0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,4.83,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.302,0.0,1.7,5.0,,1
0.0,0.68,0.0,0.0,0.0,,0.0,0.0,0.0,,1.36,,0.0,,,0.0,,,,,,0.0,0.0,0.0,0.68,,,0.68,,0.0,1.36,0.0,0.0,0.0,0.68,0.0,1.36,0.0,0.0,,0.0,,,,,0.0,,,,0.0,0.185,0.0,,0.0,3.826,30.0,264.0,1
0.0,,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,5.12,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.308,0.0,1.543,0.0,0.0,,,25.0,1
0.0,,0.0,,2.94,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.94,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.436,0.436,,,0.0,0.0,,,29.0,1
0.0,,0.48,0.0,1.46,0.0,,,0.0,0.0,0.0,0.97,0.0,0.0,,,,,2.43,0.0,2.43,0.0,,,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.081,,0.488,0.244,0.0,5.431,,239.0,1
0.0,0.48,0.48,,,0.0,,0.0,0.0,0.0,0.0,0.97,,0.0,0.0,0.48,,0.97,,0.0,,,,,,,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,0.08,0.0,0.963,0.0,0.0,3.1,,186.0,1
,0.41,1.66,0.0,0.41,0.0,0.0,,,0.0,0.0,0.41,0.0,0.0,0.0,,,0.83,,0.0,1.25,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.068,0.0,0.75,0.0,,,,285.0,1
0.3,0.0,,0.0,0.61,0.92,,2.45,0.0,,,0.3,1.53,,,0.0,,0.3,2.76,,,0.0,,0.61,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,0.207,0.0,2.132,,226.0,1
,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,2.94,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.335,,0.0,,,,4.0,,28.0,1
0.0,,,,2.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,0.711,,,,12.0,28.0,1
,0.0,0.55,0.0,1.11,0.0,0.18,0.0,0.0,,,,0.92,,0.18,0.0,0.37,0.37,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,,,,,4.0,68.0,1
0.0,,,,0.52,0.0,0.26,0.52,,0.26,,0.52,0.0,0.0,,0.26,,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.813,0.036,,2.145,,339.0,1
0.15,,1.05,0.0,,0.0,0.0,1.81,,0.75,0.0,,0.3,,0.3,0.0,0.0,0.0,,0.0,,0.0,,0.3,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.15,0.0,,0.0,,0.25,0.0,1.318,0.068,,,130.0,774.0,1
,0.0,,,,0.36,0.06,0.06,,,0.06,0.54,0.3,0.06,0.0,0.0,,0.06,,0.24,1.09,0.0,0.84,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,,0.052,0.0,,0.167,0.0,,12.0,442.0,1
0.49,,0.99,0.0,,,0.0,,,0.99,0.99,2.48,0.49,,,4.97,0.99,0.0,3.48,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.34,,0.17,0.0,0.0,1.468,8.0,94.0,1
0.46,,0.46,,,0.12,,0.28,,0.74,0.25,,,,,,0.43,0.02,3.22,,,,1.05,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.02,,,,,,0.0,0.325,,,,193.0,3040.0,1
0.46,0.46,0.26,0.0,,,,,0.0,1.12,0.39,,0.79,,0.26,0.26,0.0,0.26,3.51,,0.66,,0.19,0.26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,0.036,,0.0,,0.23,0.084,,40.0,,1
0.0,1.92,,,,0.0,,,0.0,0.0,0.0,1.92,,,0.0,0.0,0.0,,,0.0,3.84,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.75,,33.0,1
0.73,,1.09,,0.0,0.73,,,,0.36,0.0,0.36,0.0,,0.0,,0.36,0.36,,2.19,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.11,0.0,0.498,0.332,0.0,,30.0,179.0,1
0.06,0.12,0.77,0.0,0.19,,,0.0,0.06,,0.0,0.64,0.25,,,0.0,0.0,0.12,1.67,0.06,,0.0,0.19,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,,0.03,0.0,,0.071,0.0,1.732,,,1
0.0,1.26,0.0,0.0,,1.26,,,,,,1.26,0.0,0.0,,0.0,0.0,,0.0,0.0,1.26,,,1.26,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,1.26,,,0.0,0.0,0.198,,,,,3.833,,,1
