word_freq_1,word_freq_2,word_freq_3,word_freq_4,word_freq_5,word_freq_6,word_freq_7,word_freq_8,word_freq_9,word_freq_10,word_freq_11,word_freq_12,word_freq_13,word_freq_14,word_freq_15,word_freq_16,word_freq_17,word_freq_18,word_freq_19,word_freq_20,word_freq_21,word_freq_22,word_freq_23,word_freq_24,word_freq_25,word_freq_26,word_freq_27,word_freq_28,word_freq_29,word_freq_30,word_freq_31,word_freq_32,word_freq_33,word_freq_34,word_freq_35,word_freq_36,word_freq_37,word_freq_38,word_freq_39,word_freq_40,word_freq_41,word_freq_42,word_freq_43,word_freq_44,word_freq_45,word_freq_46,word_freq_47,word_freq_48,char_freq_1,char_freq_2,char_freq_3,char_freq_4,char_freq_5,char_freq_6,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
0.34,,,,0.0,,,,0.34,,,1.02,0.0,0.0,0.0,0.0,0.0,,1.36,0.0,,,,,,,,,,,,,,,,0.34,0.68,,,,0.0,,,,,,0.0,,,0.42,,,0.0,,,13.0,,0
,,,0.0,,0.0,,0.0,,,,,,,,,,,3.27,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,0.81,,,,,,,,,,,,1
,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.76,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.123,,,,0.123,,,,0
,,,,,,,,,,,,0.0,,,,,,,,2.83,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.979,,,1
,,,,,0.0,,0.0,,,,0.34,,,,,,0.0,0.85,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,0
,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,1.098,,,0.0,,,,0
,0.0,,,,,,,,0.71,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,2.0,,0
,,0.48,0.0,,,,0.0,0.0,,,,,,0.0,0.48,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,0.081,,,0.243,0.0,,78.0,,1
0.0,,0.21,,,,,0.0,,,,,,,,,,,,,0.21,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,4.385,0.0,,0.071,,,,,614.0,0
,,,0.0,0.65,,,,,,,,,,,,,0.0,5.88,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.65,,0.0,0.0,,,,,,,3.025,,,1
,,,,,0.0,,,,,,0.68,0.0,,,,,,3.4,,1.36,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,96.0,1
,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,5.0,9.0,0
,0.72,,0.0,,,,,,,0.36,0.72,,,,,0.36,,1.08,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,0.066,18.4,,736.0,1
0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,1.58,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0
,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,2.94,,,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.147,,0.294,,,,,,1
,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0
,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.85,,0.0,,0.0,,,,,,0.61,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,1.312,6.0,,0
,0.0,,,,,0.0,,,,,,,,0.0,,,3.44,1.72,,,,,0.0,,0.0,1.72,,0.0,0.0,,,0.0,,,,,,,0.0,,1.72,0.0,0.0,,0.0,,,,,,,,,,,,0
,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0
,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0
0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.136,,,,,,,,0
,,,,,0.0,,,0.0,0.87,0.0,,,,,,,,,,0.87,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.87,,,,,0.0,0.0,,,,,,,0
,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,,0
0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,,0
,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,186.0,0
,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,0.0,16.66,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,26.0,0
,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.8,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,2.44,10.0,,0
,,,,0.47,,,,,0.0,0.0,,0.0,,1.88,,,,,,,,1.41,0.0,,,,,,,,,,,,,,,0.47,,,0.0,,,,0.0,,0.0,0.0,,,0.082,,,,,137.0,1
,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,0
,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.061,,,,,,11.0,,0
0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0
,,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,0.86,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.152,,,,0.0,,,,0
,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,6.38,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,0.0,2.12,,,0.0,,,,,,,,,35.0,0
,,,,,,,,,0.0,,,,,,1.03,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.176,,,,83.0,1
,,,,,,,0.15,,0.0,,0.15,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,0.93,,0.0,,,0.0,,,,0.071,,0.0,,,0.0,62.75,1505.0,2761.0,1
