Unnamed: 0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,class
,36.0,,,,3.0,2.0,,,,,,1.0,,1.0,,0.0,,,0.0,0.0,,,,1
,,2.0,,5.0,,4.0,,3.0,,,,,1.0,,,,1.0,,,,0.0,0.0,,1
1.0,,,,3.0,3.0,,,,,2.0,,,2.0,,,0.0,,,,,,,,0
,24.0,2.0,,,,3.0,,3.0,31.0,3.0,,,,1.0,0.0,,,,,,,0.0,1.0,1
,42.0,4.0,,1.0,4.0,,,,,1.0,2.0,,1.0,,0.0,,1.0,,0.0,1.0,,,,0
4.0,,,12.0,5.0,5.0,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,0
,9.0,,,,3.0,,,1.0,,,,,1.0,,,0.0,1.0,0.0,,,,,,0
,24.0,,40.0,,3.0,3.0,2.0,,27.0,,1.0,,1.0,,,0.0,,0.0,,,,,,0
,18.0,4.0,,,,,3.0,,29.0,,,,,,0.0,,,0.0,,,,,,0
,18.0,,11.0,,3.0,,,,,3.0,1.0,,1.0,,0.0,,,,,,,1.0,,0
1.0,,,,,,,,3.0,,,1.0,,1.0,,,0.0,,1.0,0.0,1.0,,0.0,1.0,1
,,,3.0,,,3.0,4.0,,,3.0,2.0,,1.0,,,,1.0,,,,,,,0
,,,36.0,1.0,,,,3.0,,,1.0,,,1.0,,,1.0,,0.0,,0.0,,,0
,,,,,,,,,35.0,,,1.0,2.0,1.0,,0.0,1.0,,,,,0.0,,0
,15.0,,18.0,,2.0,,,1.0,,,,1.0,,,,,,0.0,,0.0,,,,1
,48.0,,,,,3.0,4.0,,38.0,,,,2.0,,0.0,0.0,,,,,,,,0
4.0,18.0,,,1.0,,,2.0,,,,,,,1.0,0.0,,,,,,,,1.0,0
1.0,,,,1.0,,3.0,,,,3.0,,,,1.0,,0.0,,,,,,,,0
4.0,,,35.0,,,,,,,3.0,,,,1.0,0.0,,1.0,0.0,0.0,1.0,,0.0,1.0,0
,12.0,4.0,,3.0,,,3.0,,,,,,2.0,1.0,,,1.0,0.0,,,0.0,,,0
4.0,,,,,4.0,,1.0,,,,,,,,,0.0,1.0,,,1.0,,,,0
,,2.0,39.0,,,3.0,,3.0,,,1.0,2.0,,,,0.0,1.0,0.0,,,,,,1
,36.0,,,1.0,3.0,,,,,3.0,,1.0,,1.0,,,,0.0,,,0.0,,0.0,1
3.0,18.0,2.0,30.0,1.0,,,,,45.0,2.0,,,,,,,,,,1.0,,1.0,,0
,,,,5.0,,,4.0,3.0,35.0,,,,,,,0.0,,,,1.0,,,1.0,0
,,,7.0,4.0,,,2.0,,27.0,,,,1.0,2.0,,0.0,1.0,0.0,0.0,1.0,,,,0
4.0,,,17.0,,,,,,,3.0,2.0,,,,0.0,,1.0,0.0,,,,,,0
4.0,15.0,,,,,,2.0,,31.0,3.0,,,1.0,,,,,,,1.0,,,,0
2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,0.0,,1.0,,,,1
,,2.0,31.0,,4.0,,,,61.0,3.0,,1.0,,,,,,,,1.0,,1.0,0.0,0
,12.0,2.0,19.0,,,3.0,,,,,,,2.0,1.0,,0.0,1.0,,0.0,,,,0.0,0
4.0,24.0,,,,,,,4.0,,,2.0,,2.0,,,0.0,,,,,,,,0
4.0,,,,1.0,,3.0,,,39.0,3.0,,,1.0,1.0,,,1.0,0.0,,,,,0.0,0
2.0,,2.0,,1.0,2.0,,,1.0,,,,,1.0,,0.0,,,,,,0.0,1.0,,0
4.0,12.0,,9.0,,5.0,,4.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,0
,12.0,,,,5.0,4.0,,,,1.0,,,,1.0,,,,0.0,,,,1.0,,0
