Unnamed: 0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,class
,,4.0,,,,,,1.0,67.0,3.0,,,,,,0.0,,,,,,0.0,,0
2.0,48.0,2.0,,1.0,3.0,2.0,,,,3.0,,1.0,,,,,1.0,,,,,,,1
,,4.0,21.0,,,,,,,,,,,1.0,,,,0.0,,,,1.0,,0
,,2.0,,,4.0,,,,45.0,,,,,1.0,0.0,,0.0,,,0.0,,,,0
,,,,,,3.0,4.0,4.0,,,,2.0,1.0,,1.0,0.0,1.0,,,,,,1.0,1
,36.0,,,,,3.0,,4.0,35.0,,1.0,,,1.0,,0.0,,,0.0,,0.0,,,0
4.0,24.0,,28.0,,5.0,,4.0,2.0,53.0,,,,,1.0,0.0,,,,0.0,,0.0,,,0
,,,69.0,,,,,,,,,,,,,1.0,1.0,,,0.0,,,0.0,0
,12.0,,,,4.0,,,1.0,,3.0,1.0,,,,,,,0.0,,,,1.0,0.0,0
,30.0,,52.0,1.0,1.0,4.0,2.0,,,,,,1.0,,1.0,,,,,,,,0.0,1
2.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,0.0,,1
,,2.0,,1.0,,2.0,4.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1
,,,,1.0,3.0,,,,,3.0,,,,,0.0,,,,,,,,,0
1.0,,,,1.0,,,4.0,3.0,60.0,,2.0,1.0,,,,,,0.0,0.0,,,1.0,0.0,1
1.0,,,,,,,,,28.0,,,,1.0,,,,,0.0,,,,,,0
,,,13.0,,3.0,,,,32.0,,,,,,0.0,,1.0,,,1.0,,,,1
,,,,,,3.0,,,,,,,,,0.0,,1.0,0.0,0.0,,0.0,,,0
,,,81.0,,,,3.0,,,,3.0,1.0,,1.0,0.0,,1.0,,,,,0.0,,0
,,2.0,,3.0,,,,,,,,,,1.0,,0.0,,,0.0,,,,,0
4.0,,,,,,3.0,4.0,3.0,,3.0,,,2.0,,,,,,,,,,,0
,6.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,0
,,,,,,,,1.0,,,,,1.0,,,,1.0,0.0,1.0,,0.0,,,0
,12.0,,18.0,,2.0,,,2.0,,,1.0,,1.0,1.0,0.0,,,,0.0,,,,,0
,,,,,3.0,,,3.0,,,,1.0,1.0,,,,,,0.0,,0.0,0.0,1.0,0
,6.0,,14.0,,3.0,,,,,,,,,1.0,,,,,,,,,,0
,6.0,,4.0,,,,,,,,,,,,0.0,,,,,,,,,0
,,1.0,4.0,4.0,,,,,,3.0,,,,,,,,,,0.0,,,,0
,,,,,,3.0,2.0,,34.0,,,,,,,,,0.0,,1.0,,,1.0,0
,60.0,,,,5.0,,,,,,,,,,0.0,,,0.0,,,,,,1
,,,,,2.0,,,,36.0,,1.0,,,1.0,,,,,0.0,,,,1.0,0
,24.0,,,,,3.0,,,,,,,,,,0.0,,0.0,,,,0.0,1.0,0
,,2.0,59.0,2.0,3.0,,,,,3.0,,,2.0,,,0.0,1.0,,,,,0.0,,0
,,,13.0,5.0,,3.0,4.0,,,,,1.0,,,0.0,,,,1.0,,0.0,1.0,,0
,12.0,,,,,,,,33.0,,,,2.0,1.0,,,,,,1.0,,,0.0,0
,,4.0,47.0,,,3.0,2.0,,,,2.0,,,,0.0,0.0,1.0,,,1.0,,,,1
,,4.0,61.0,,,,,,31.0,1.0,1.0,,,1.0,,,,0.0,,,0.0,0.0,,0
,,2.0,21.0,1.0,3.0,,,,,2.0,1.0,1.0,,1.0,,,0.0,,,1.0,,,,1
,,2.0,,,3.0,3.0,,,,,,1.0,,,0.0,,,,,,,,1.0,0
,,,5.0,,,3.0,,,,,,,,,,,,,,,,0.0,,0
4.0,30.0,,,,,,2.0,,,,,,,1.0,,,,,,1.0,0.0,,,0
,,,,,,,,3.0,,,1.0,,,,0.0,,1.0,0.0,,,0.0,,,0
2.0,,,,,,,,,,3.0,1.0,2.0,,,,0.0,,,0.0,1.0,,,,0
,30.0,,,,,,4.0,3.0,24.0,3.0,,,,,0.0,,,,,,,,,0
1.0,48.0,,,,,,,4.0,,,,,,1.0,,,,0.0,,0.0,0.0,,0.0,1
4.0,,4.0,,,,,,3.0,,3.0,,1.0,,1.0,,,,0.0,0.0,,,,,0
,36.0,,,,,,4.0,,39.0,,,,,,0.0,,,0.0,0.0,,,,1.0,0
,,,,,,,2.0,,23.0,,,,,,0.0,,,,,,,0.0,0.0,0
4.0,11.0,,,,,,,,39.0,,2.0,,1.0,1.0,,,1.0,,,,0.0,1.0,,0
,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,0
,,,,,,,,2.0,,,,,,,,0.0,,0.0,,1.0,0.0,,,0
,,,,,,,2.0,,30.0,,2.0,1.0,,,,,,,,1.0,,0.0,,0
4.0,,,,1.0,,,2.0,3.0,25.0,3.0,,,,,,,1.0,,0.0,,,,,0
4.0,18.0,,34.0,,,3.0,,,,,,,,,,,,,0.0,,,,,0
,,3.0,22.0,1.0,5.0,3.0,,4.0,57.0,,,,2.0,,,,,,,0.0,0.0,,,1
,6.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,0.0,0.0,,,,,,0
,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,1
4.0,,,96.0,,,,,,,2.0,2.0,,1.0,1.0,,0.0,,,,1.0,0.0,,1.0,0
3.0,,,,1.0,5.0,2.0,,3.0,23.0,,1.0,1.0,,1.0,,,,,,1.0,,,,0
,36.0,4.0,,,,2.0,4.0,,,3.0,2.0,,,1.0,,,,,1.0,,,,,1
,,,14.0,,3.0,,,,,,,1.0,2.0,,,0.0,1.0,0.0,,1.0,,,,0
