Unnamed: 0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,class
1,6,4,12,5,5,3,4,1,67,3,2,1,2,1,0,1,1,0,0,1,0,0,1,0
0,48,2,-37,1,3,2,0,1,22,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1
4,12,4,21,1,4,3,3,1,49,3,1,2,2,1,0,0,1,0,0,1,0,1,0,0
1,42,2,79,1,4,3,4,2,45,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
1,24,3,49,1,3,3,4,4,53,3,0,0,1,1,1,0,1,0,0,0,0,0,1,1
4,36,5,91,5,3,3,0,4,35,0,1,2,2,1,0,0,1,0,0,0,0,1,0,0
4,24,2,28,3,5,3,4,2,53,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
2,36,2,69,1,3,3,2,3,35,3,1,2,2,1,0,1,1,0,1,0,0,0,0,0
4,12,2,31,4,4,1,4,4,61,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0
2,30,4,52,1,1,4,2,3,28,3,2,1,1,1,1,0,1,0,0,1,0,0,0,1
2,12,2,105,1,2,2,0,3,25,3,1,1,0,1,1,0,1,0,1,0,0,0,1,1
1,48,2,43,1,2,2,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1
2,77,2,140,1,3,2,5,3,22,3,1,0,2,1,0,0,1,0,0,1,0,0,1,0
1,24,4,12,1,5,3,4,3,60,3,2,1,1,1,1,0,1,0,0,1,0,1,0,1
5,15,2,14,1,3,2,4,3,7,3,1,1,1,1,1,0,1,0,1,0,0,0,1,0
1,24,2,-6,2,3,4,2,3,32,3,1,1,1,1,0,0,1,1,0,1,0,1,0,1
4,24,4,24,5,5,3,4,2,53,3,2,1,1,1,0,0,1,0,0,1,1,0,1,0
0,30,0,81,5,2,3,3,3,25,1,3,1,1,1,0,0,1,0,0,1,0,0,1,0
4,24,2,34,3,5,0,2,3,31,3,1,2,2,0,1,0,1,0,0,1,0,0,1,0
4,9,4,21,1,3,3,4,3,48,3,3,1,2,1,1,0,1,0,0,1,0,0,0,0
1,62,2,26,3,3,3,3,1,44,3,1,2,1,1,1,0,1,0,1,0,0,0,1,0
1,10,6,22,1,-1,3,3,1,48,3,2,2,1,2,1,0,1,0,1,1,0,1,0,0
2,12,4,18,2,2,3,4,6,44,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0
4,10,4,21,5,0,4,1,3,26,3,2,1,1,2,1,0,1,0,0,1,0,0,1,0
1,-15,2,14,1,3,3,2,1,36,1,1,0,2,1,0,0,1,0,0,1,0,1,0,0
4,6,0,4,1,5,0,4,3,39,3,1,0,1,1,0,0,1,1,0,1,0,1,0,0
3,12,1,4,4,3,2,3,1,42,3,2,1,1,1,0,0,1,0,1,0,0,0,1,0
2,7,2,24,1,3,3,0,1,-4,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0
1,60,3,68,1,5,3,4,4,63,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1
